County,State,fips,Latitude,Longitude,Confirmed Cases,Deaths,Recoveries
Adair,IOWA,19001,41.3127814, -94.4953303,1,0,1
Adams,IOWA,19003,41.0161621, -94.6850186,0,0,0
Allamakee,IOWA,19005,43.2961731, -91.3961856,89,3,39
Appanoose,IOWA,19007,40.7455904, -92.8649061,2,2,0
Audubon,IOWA,19009,41.670205, -94.9106526,1,0,1
Benton,IOWA,19011,42.0599693, -92.0776319,31,1,14
Black Hawk,IOWA,19013,42.4607526, -92.3030235,1140,13,307
Boone,IOWA,19015,42.0171798, -93.9254114,12,0,4
Bremer,IOWA,19017,42.7669649, -92.3099856,51,3,33
Buchanan,IOWA,19019,42.4634928, -91.8449198,17,0,12
Buena Vista,IOWA,19021,42.7445814, -95.1127525,4,0,2
Butler,IOWA,19023,42.7336512, -92.7819493,9,0,1
Calhoun,IOWA,19025,42.3808184, -94.6332459,0,0,0
Carroll,IOWA,19027,42.0193628, -94.860335,2,0,1
Cass,IOWA,19029,41.3122834, -94.9215151,1,0,1
Cedar,IOWA,19031,41.7608608, -91.1263198,29,0,27
Cerro Gordo,IOWA,19033,43.0742443, -93.2548746,14,0,12
Cherokee,IOWA,19035,42.7247968, -95.6249803,2,0,2
Chickasaw,IOWA,19037,43.05994, -92.316679,5,0,2
Clarke,IOWA,19039,41.0152092, -93.7842976,2,0,2
Clay,IOWA,19041,43.0809373, -95.1407762,4,0,3
Clayton,IOWA,19043,42.8547706, -91.3667151,14,1,8
Clinton,IOWA,19045,41.9054695, -90.5599971,48,1,36
Crawford,IOWA,19047,42.020579, -95.3811884,78,1,7
Dallas,IOWA,19049,41.6744179, -94.0394437,318,0,87
Davis,IOWA,19051,40.7474784, -92.3965311,1,0,0
Decatur,IOWA,19053,40.7418231, -93.7994193,0,0,0
Delaware,IOWA,19055,42.4663805, -91.3621282,8,0,2
Des Moines,IOWA,19057,40.9195431, -91.1971044,16,1,8
Dickinson,IOWA,19059,43.3753018, -95.1654279,6,0,2
Dubuque,IOWA,19061,42.4692988, -90.8742047,102,4,19
Emmet,IOWA,19063,43.3707528, -94.6749933,0,0,0
Fayette,IOWA,19065,42.8420766, -91.850265,20,0,7
Floyd,IOWA,19067,43.0587894, -92.7830539,0,0,0
Franklin,IOWA,19069,42.7285907, -93.2513168,2,0,1
Fremont,IOWA,19071,40.7345943, -95.5924782,0,0,0
Greene,IOWA,19073,42.0182893, -94.4005864,5,0,1
Grundy,IOWA,19075,42.4132701, -92.7808666,11,0,5
Guthrie,IOWA,19077,41.6721976, -94.4985983,12,0,5
Hamilton,IOWA,19079,42.382945, -93.7083849,7,0,3
Hancock,IOWA,19081,43.0847702, -93.7363674,3,0,2
Hardin,IOWA,19083,42.3840463, -93.2293918,8,0,1
Harrison,IOWA,19085,41.6659155, -95.7976315,16,0,15
Henry,IOWA,19087,40.9778301, -91.5511282,32,1,25
Howard,IOWA,19089,43.3353641, -92.3230007,10,0,3
Humboldt,IOWA,19091,42.7756032, -94.1956133,4,0,3
Ida,IOWA,19093,42.3788371, -95.4949407,0,0,0
Iowa,IOWA,19095,41.683983, -92.0612268,19,0,11
Jackson,IOWA,19097,42.1420382, -90.5480067,5,0,3
Jasper,IOWA,19099,41.6791308, -93.0647786,130,1,61
Jefferson,IOWA,19101,41.0131342, -91.9718642,6,0,6
Johnson,IOWA,19103,41.6861834, -91.6061124,461,6,178
Jones,IOWA,19105,42.1081969, -91.1427196,21,0,14
Keokuk,IOWA,19107,41.3154792, -92.1867128,2,0,2
Kossuth,IOWA,19109,43.1825351, -94.209098,2,0,1
Lee,IOWA,19111,40.6524894, -91.507313,8,0,2
Linn,IOWA,19113,42.0631825, -91.6037932,669,43,346
Louisa,IOWA,19115,41.206668, -91.2683976,269,2,139
Lucas,IOWA,19117,41.0147422, -93.3427643,0,0,0
Lyon,IOWA,19119,43.3747071, -96.2081917,13,0,7
Madison,IOWA,19121,41.3133406, -94.0167968,5,1,1
Mahaska,IOWA,19123,41.314939, -92.6489935,10,1,7
Marion,IOWA,19125,41.3144108, -93.1010141,8,0,7
Marshall,IOWA,19127,42.0378125, -92.9915704,467,2,130
Mills,IOWA,19129,41.0171392, -95.6087477,2,0,2
Mitchell,IOWA,19131,43.342033, -92.7840209,2,0,2
Monona,IOWA,19133,42.0218737, -95.9356631,7,0,7
Monroe,IOWA,19135,41.0142519, -92.8792544,0,0,0
Montgomery,IOWA,19137,41.0166807, -95.1753285,1,0,1
Muscatine,IOWA,19139,41.4776121, -91.1210053,336,14,153
O'Brien,IOWA,19141,43.0755779, -95.6277063,8,0,3
Osceola,IOWA,19143,43.3684613, -95.6299944,9,0,4
Page,IOWA,19145,40.736337, -95.1602396,9,0,4
Palo Alto,IOWA,19147,43.0762829, -94.6625047,0,0,0
Plymouth,IOWA,19149,42.7369124, -96.2213607,12,0,6
Pocahontas,IOWA,19151,42.7262681, -94.6477383,1,0,1
Polk,IOWA,19153,41.6765808, -93.5921448,985,35,199
Pottawattamie,IOWA,19155,41.3115686, -95.5331269,33,2,17
Poweshiek,IOWA,19157,41.6816512, -92.5435034,56,2,21
Ringgold,IOWA,19159,40.7399875, -94.2547473,0,0,0
Sac,IOWA,19161,42.3797854, -95.0825306,0,0,0
Scott,IOWA,19163,41.6251843, -90.6164201,226,6,182
Shelby,IOWA,19165,41.668243, -95.3163623,9,0,8
Sioux,IOWA,19167,43.0574079, -96.1602368,9,0,7
Story,IOWA,19169,42.0161612, -93.489194,27,1,20
Tama,IOWA,19171,42.0568108, -92.5433918,266,7,127
Taylor,IOWA,19173,40.738254, -94.6847413,1,0,1
Union,IOWA,19175,41.015699, -94.2472694,1,0,1
Van Buren,IOWA,19177,40.749202, -91.9689529,8,0,8
Wapello,IOWA,19179,41.0137597, -92.4140217,84,1,8
Warren,IOWA,19181,41.3138645, -93.5685324,22,0,16
Washington,IOWA,19183,41.3160082, -91.7340327,141,7,105
Wayne,IOWA,19185,40.7436612, -93.343458,0,0,0
Webster,IOWA,19187,42.4326072, -94.184316,5,0,2
Winnebago,IOWA,19189,43.3747879, -93.7316088,2,0,2
Winneshiek,IOWA,19191,43.2677179, -91.8563139,15,0,7
Woodbury,IOWA,19193,42.3775361, -96.0607187,742,1,165
Worth,IOWA,19195,43.3696764, -93.2658698,1,0,1
Wright,IOWA,19197,42.7404452, -93.7325849,3,0,1
