County,State,fips,Latitude,Longitude,Confirmed Cases,Deaths
Acadia,LOUISIANA,22001,30.2740735, -92.3957036,10,–
Allen,LOUISIANA,22003,30.6558242, -92.8598049,9,–
Ascension,LOUISIANA,22005,30.2116442, -90.9186104,40,–
Assumption,LOUISIANA,22007,29.9185432, -91.0533996,6,–
Avoyelles,LOUISIANA,22009,31.0471604, -92.0019698,7,–
Beauregard,LOUISIANA,22011,30.6144496, -93.3416829,3,–
Bienville,LOUISIANA,22013,32.3231432, -93.0761115,13,–
Bossier,LOUISIANA,22015,32.6676663, -93.5959786,17,–
Caddo,LOUISIANA,22017,32.529173, -93.8931785,114,–
Calcasieu,LOUISIANA,22019,30.2232015, -93.3434067,31,–
Caldwell,LOUISIANA,22021,32.0820785, -92.1130105,0,–
Cameron,LOUISIANA,22023,29.888055, -93.1843025,0,–
Catahoula,LOUISIANA,22025,31.7294681, -91.8487107,2,–
Claiborne,LOUISIANA,22027,32.8218607, -93.0097229,7,–
Concordia,LOUISIANA,22029,31.3941887, -91.6714379,4,–
DeSoto,LOUISIANA,None,30.83283, -91.960512,12,–
East Baton Rouge,LOUISIANA,22033,30.5254797, -91.0899217,153,–
East Carroll,LOUISIANA,22035,32.6949938, -91.2605142,0,–
East Feliciana,LOUISIANA,22037,30.8462165, -91.0405799,16,–
Evangeline,LOUISIANA,22039,30.6976776, -92.4217813,1,–
Franklin,LOUISIANA,22041,32.1254252, -91.6778053,3,–
Grant,LOUISIANA,22043,31.5748918, -92.5730029,0,–
Iberia,LOUISIANA,22045,29.9812242, -91.7451362,23,–
Iberville,LOUISIANA,22047,30.2120844, -91.3133623,32,–
Jackson,LOUISIANA,22049,32.2932692, -92.5628442,3,–
Jefferson Davis,LOUISIANA,22053,30.2575503, -92.7886576,6,–
Jefferson,LOUISIANA,22051,29.8502657, -90.1293894,371,–
Lafayette,LOUISIANA,22055,30.2240897, -92.0198427,20,–
Lafourche,LOUISIANA,22057,29.5820155, -90.3964889,52,–
LaSalle,LOUISIANA,None,29.9757602, -91.9476206,0,–
Lincoln,LOUISIANA,22061,32.598162, -92.6792848,9,–
Livingston,LOUISIANA,22063,30.4158699, -90.7189344,16,–
Madison,LOUISIANA,22065,32.3614697, -91.255051,0,–
Morehouse,LOUISIANA,22067,32.8326959, -91.8374127,4,–
Natchitoches,LOUISIANA,22069,31.7606732, -93.0860209,4,–
Orleans,LOUISIANA,22071,29.9499323, -90.0701156,441,–
Ouachita,LOUISIANA,22073,32.4790511, -92.1615004,22,–
Plaquemines,LOUISIANA,22075,29.4291161, -89.5123524,17,–
Pointe Coupee,LOUISIANA,22077,30.6194283, -91.5740887,15,–
Rapides,LOUISIANA,22079,31.1719886, -92.5526386,10,–
Red River,LOUISIANA,22081,32.0835604, -93.3111105,5,–
Richland,LOUISIANA,22083,32.4196791, -91.8105911,0,–
Sabine,LOUISIANA,22085,31.5223049, -93.5265161,1,–
St. Bernard,LOUISIANA,22087,29.8217562, -89.6008692,20,–
St. Charles,LOUISIANA,22089,29.8883177, -90.3794968,40,–
St. Helena,LOUISIANA,22091,30.8080103, -90.6932182,1,–
St. James,LOUISIANA,22093,30.0096684, -90.7989525,20,–
St. John the Baptist,LOUISIANA,22095,30.1141748, -90.5276838,71,–
St. Landry,LOUISIANA,22097,30.6174002, -92.0035057,45,–
St. Martin,LOUISIANA,22099,30.1811426, -91.6081116,18,–
St. Mary,LOUISIANA,22101,29.692329, -91.442465,23,–
St. Tammany,LOUISIANA,22103,30.4243909, -89.9730381,114,–
Tangipahoa,LOUISIANA,22105,30.6323024, -90.4315754,23,–
Tensas,LOUISIANA,22107,31.9834216, -91.3708695,0,–
Terrebonne,LOUISIANA,22109,29.4616211, -90.8705871,33,–
Union,LOUISIANA,22111,32.8385899, -92.3910295,7,–
Vermilion,LOUISIANA,22113,29.8411106, -92.3501175,1,–
Vernon,LOUISIANA,22115,31.0847886, -93.2003582,2,–
Washington,LOUISIANA,22117,30.8337523, -90.0721467,21,–
Webster,LOUISIANA,22119,32.6358137, -93.3285187,4,–
West Baton Rouge,LOUISIANA,22121,30.4514623, -91.3261882,22,–
West Carroll,LOUISIANA,22123,32.7864174, -91.4586366,0,–
West Feliciana,LOUISIANA,22125,30.8842729, -91.4016657,3,–
Winn,LOUISIANA,22127,31.947293, -92.6401816,2,–
