County,State,fips,Latitude,Longitude,Confirmed Cases,Deaths
Aitkin,MINNESOTA,27001,46.5714822, -93.3847595,1,0
Anoka,MINNESOTA,27003,45.2710195, -93.2827625,299,17
Becker,MINNESOTA,27005,46.9298236, -95.6761851,13,0
Beltrami,MINNESOTA,27007,47.9978537, -94.8799011,6,0
Benton,MINNESOTA,27009,45.7162129, -94.0481042,35,1
Big Stone,MINNESOTA,27011,45.385266, -96.3557364,2,0
Blue Earth,MINNESOTA,27013,44.0109722, -94.0560643,50,0
Brown,MINNESOTA,27015,44.2350232, -94.6955051,9,1
Carlton,MINNESOTA,27017,46.5799933, -92.7206334,60,0
Carver,MINNESOTA,27019,44.807118, -93.7871792,27,0
Cass,MINNESOTA,27021,47.0234117, -94.3454604,7,0
Chippewa,MINNESOTA,27023,45.027661, -95.5314914,3,0
Chisago,MINNESOTA,27025,45.4758877, -92.8849411,13,1
Clay,MINNESOTA,27027,46.8994904, -96.5088202,190,13
Clearwater,MINNESOTA,27029,47.5643825, -95.3747844,2,0
Cottonwood,MINNESOTA,27033,44.019068, -95.1658845,37,0
Crow Wing,MINNESOTA,27035,46.3554245, -94.2043241,21,1
Dakota,MINNESOTA,27037,44.666655, -93.044911,215,11
Dodge,MINNESOTA,27039,44.0175404, -92.8678406,21,0
Douglas,MINNESOTA,27041,45.9340479, -95.4627651,7,0
Faribault,MINNESOTA,27043,43.6647961, -93.9510501,7,0
Fillmore,MINNESOTA,27045,43.6466588, -92.0636359,13,1
Freeborn,MINNESOTA,27047,43.6763617, -93.3501681,36,0
Goodhue,MINNESOTA,27049,44.396973, -92.7175627,23,0
Grant,MINNESOTA,27051,45.9358795, -96.0272071,1,0
Hennepin,MINNESOTA,27053,45.0257232, -93.4865052,2298,284
Houston,MINNESOTA,27055,43.6624222, -91.4685617,1,0
Isanti,MINNESOTA,27059,45.5693224, -93.326521,6,0
Itasca,MINNESOTA,27061,47.4968343, -93.6225663,12,0
Jackson,MINNESOTA,27063,43.670011, -95.1500626,24,0
Kanabec,MINNESOTA,27065,45.8986948, -93.2850016,1,0
Kandiyohi,MINNESOTA,27067,45.142373, -95.0025846,188,1
Kittson,MINNESOTA,27069,48.7709208, -96.8074141,1,0
Koochiching,MINNESOTA,27071,48.221596, -93.7684251,1,0
Lac qui Parle,MINNESOTA,27073,44.986426, -96.2024907,2,0
Le Sueur,MINNESOTA,27079,44.3771652, -93.711443,26,0
Lincoln,MINNESOTA,27081,44.4020631, -96.2627763,3,0
Lyon,MINNESOTA,27083,44.3880733, -95.8287296,9,0
Mahnomen,MINNESOTA,27087,47.3313602, -95.8142911,2,0
Marshall,MINNESOTA,27089,48.3605336, -96.381968,7,0
Martin,MINNESOTA,27091,43.6564337, -94.5498419,108,4
McLeod,MINNESOTA,27085,44.8169135, -94.2495251,4,0
Meeker,MINNESOTA,27093,45.1183643, -94.5175345,17,0
Mille Lacs,MINNESOTA,27095,45.9311972, -93.640356,3,1
Morrison,MINNESOTA,27097,45.9926837, -94.2554658,6,0
Mower,MINNESOTA,27099,43.6832277, -92.753704,32,0
Murray,MINNESOTA,27101,44.017855, -95.7615205,17,0
Nicollet,MINNESOTA,27103,44.3380412, -94.2362169,16,2
Nobles,MINNESOTA,27105,43.6634212, -95.7527672,1011,1
Norman,MINNESOTA,27107,47.3194344, -96.4625779,9,0
Olmsted,MINNESOTA,27109,43.999812, -92.3765614,305,8
Otter Tail,MINNESOTA,27111,46.4184196, -95.713142,18,0
Pennington,MINNESOTA,27113,48.0513335, -96.0829271,1,0
Pine,MINNESOTA,27115,46.0820957, -92.7542126,60,0
Pipestone,MINNESOTA,27117,44.0270012, -96.2566582,4,0
Polk,MINNESOTA,27119,47.6554613, -96.4193484,42,0
Ramsey,MINNESOTA,27123,45.0165728, -93.0949501,535,34
Red Lake,MINNESOTA,27125,47.8605178, -96.0988343,1,0
Redwood,MINNESOTA,27127,44.3788613, -95.2532373,3,0
Renville,MINNESOTA,27129,44.7242874, -94.9084771,5,0
Rice,MINNESOTA,27131,44.3413376, -93.2865484,24,1
Rock,MINNESOTA,27133,43.6733632, -96.2574328,16,0
Roseau,MINNESOTA,27135,48.7710371, -95.7697882,1,0
Scott,MINNESOTA,27139,44.6506998, -93.5025726,63,1
Sherburne,MINNESOTA,27141,45.4427088, -93.7459202,61,0
Sibley,MINNESOTA,27143,44.5603522, -94.2085682,2,0
St. Louis,MINNESOTA,27137,47.6201005, -92.4363343,79,11
Stearns,MINNESOTA,27145,45.535326, -94.6139422,728,2
Steele,MINNESOTA,27147,44.0137336, -93.2203671,24,0
Swift,MINNESOTA,27151,45.2797223, -95.6898654,2,0
Todd,MINNESOTA,27153,46.0588428, -94.887283,15,0
Traverse,MINNESOTA,27155,45.7836323, -96.4215265,2,0
Wabasha,MINNESOTA,27157,44.2767596, -92.2018164,10,0
Wadena,MINNESOTA,27159,46.5850936, -94.9606684,2,0
Waseca,MINNESOTA,27161,44.0172242, -93.5885717,6,0
Washington,MINNESOTA,27163,45.0078591, -92.8743564,152,12
Watonwan,MINNESOTA,27165,43.9736055, -94.6370354,15,0
Wilkin,MINNESOTA,27167,46.3258354, -96.4586194,11,3
Winona,MINNESOTA,27169,43.9582272, -91.7807784,67,15
Wright,MINNESOTA,27171,45.1489061, -93.9639196,54,1
Yellow Medicine,MINNESOTA,27173,44.7198536, -95.8533555,3,0
