County,State,fips,Latitude,Longitude,Confirmed Cases
Clark,NEVADA,32003,36.3467726,-115.0907378,3979
Washoe,NEVADA,32031,40.5849048,-119.6131606,848
Carson City,NEVADA,32510,39.1649125,-119.7666496,44
Humboldt,NEVADA,32013,41.429394,-118.2024818,40
Nye,NEVADA,32023,38.3544843,-116.4069616,36
Lyon,NEVADA,32019,38.9887898,-119.1822042,27
Douglas,NEVADA,32005,38.9072611,-119.6201824,19
Elko,NEVADA,32007,41.1958128,-115.3272864,15
Lander,NEVADA,32015,39.9059878,-116.9843374,7
Mineral,NEVADA,32021,38.4815162,-118.498262,4
Churchill,NEVADA,32001,39.6136309,-118.4191948,3
White Pine,NEVADA,32033,39.5298185,-114.8899563,3
