County,State,fips,Latitude,Longitude,Confirmed Cases,Deaths,Recoveries
Albany,NEW YORK,36001,42.5986896, -73.9843997,1258,36,616
Allegany,NEW YORK,36003,42.2446061, -78.0419281,35,2,28
Bronx,NEW YORK,36005,40.8504855, -73.8404036,38916,2784,–
Broome,NEW YORK,36007,42.1455623, -75.8404114,328,22,184
Cattaraugus,NEW YORK,36009,42.2234823, -78.6477096,53,2,26
Cayuga,NEW YORK,36011,42.8093409, -76.5700777,52,1,48
Chautauqua,NEW YORK,36013,42.2894671, -79.421728,36,1,28
Chemung,NEW YORK,36015,42.1384667, -76.7725493,125,1,10
Chenango,NEW YORK,36017,42.4784565, -75.6130279,99,1,73
Clinton,NEW YORK,36019,44.7278943, -73.6686982,62,4,46
Columbia,NEW YORK,36021,42.2415027, -73.6723456,217,15,98
Cortland,NEW YORK,36023,42.5842136, -76.0704906,32,1,31
Delaware,NEW YORK,36025,42.194917, -75.0016302,73,2,47
Dutchess,NEW YORK,36027,41.7194303, -73.7516205,3086,75,729
Erie,NEW YORK,36029,42.7164263, -78.7620327,3710,268,479
Essex,NEW YORK,36031,44.0638879, -73.7542043,29,0,8
Franklin,NEW YORK,36033,44.5599139, -74.3273735,15,0,4
Fulton,NEW YORK,36035,43.1061507, -74.4461771,82,3,0
Genesee,NEW YORK,36037,43.0102726, -78.1780196,155,3,81
Greene,NEW YORK,36039,42.2628769, -74.0878112,151,3,104
Hamilton,NEW YORK,36041,43.6307863, -74.4659275,3,0,0
Herkimer,NEW YORK,36043,43.4911326, -74.9481252,62,3,18
Jefferson,NEW YORK,36045,44.059311, -75.9995742,62,0,9
Kings,NEW YORK,36047,40.6453098, -73.955023,46839,4262,–
Lewis,NEW YORK,36049,43.7344277, -75.440289,9,4,5
Livingston,NEW YORK,36051,42.7360902, -77.7781416,83,2,41
Madison,NEW YORK,36053,42.875882, -75.6802581,181,5,117
Manhattan,NEW YORK,36061,40.7896239, -73.9598939,22741,1654,–
Monroe,NEW YORK,36055,43.150094, -77.6810141,1566,117,711
Montgomery,NEW YORK,36057,42.8941269, -74.4099745,56,4,33
Nassau,NEW YORK,36059,40.7412643, -73.5877699,36780,1770,2889
Niagara,NEW YORK,36063,43.2042439, -78.7676017,488,26,234
Oneida,NEW YORK,36065,43.2144051, -75.4039155,489,18,189
Onondaga,NEW YORK,36067,43.015598, -76.2257127,1047,36,610
Ontario,NEW YORK,36069,42.8580624, -77.295025,95,9,47
Orange,NEW YORK,36071,41.3873306, -74.2507287,9038,329,0
Orleans,NEW YORK,36073,43.2244513, -78.2272835,97,9,31
Oswego,NEW YORK,36075,43.4112973, -76.1279841,66,3,56
Otsego,NEW YORK,36077,42.5984272, -75.0142701,67,4,46
Putnam,NEW YORK,36079,41.426996, -73.760156,1144,45,1013
Queens,NEW YORK,36081,40.6524927, -73.7914214,53640,4246,–
Rensselaer,NEW YORK,36083,42.7091389, -73.5107732,322,14,174
Richmond,NEW YORK,36085,40.564209, -74.1253046,12255,596,–
Rockland,NEW YORK,36087,41.1519319, -74.0357266,12025,519,4975
Saratoga,NEW YORK,36091,43.0833231, -73.8712155,363,13,122
Schenectady,NEW YORK,36093,42.831851, -74.0445388,527,25,355
Schoharie,NEW YORK,36095,42.5757217, -74.4390277,45,1,35
Schuyler,NEW YORK,36097,42.3899705, -76.8744093,8,0,6
Seneca,NEW YORK,36099,42.7831619, -76.8386051,45,2,6
St. Lawrence,NEW YORK,36089,44.4973591, -75.0657043,177,2,48
Steuben,NEW YORK,36101,42.2359045, -77.3750862,234,38,132
Suffolk,NEW YORK,36103,40.8832318, -72.8578027,34855,1256,2901
Sullivan,NEW YORK,36105,41.7156311, -74.7804323,951,22,501
Tioga,NEW YORK,36107,42.1333395, -76.3309339,90,8,32
Tompkins,NEW YORK,36109,42.443114, -76.4725921,129,0,106
Ulster,NEW YORK,36111,41.8689317, -74.2618518,1401,28,576
Warren,NEW YORK,36113,43.5018687, -73.8164637,188,10,9
Washington,NEW YORK,36115,43.2294536, -73.4471343,186,5,71
Wayne,NEW YORK,36117,43.1500557, -77.0377603,75,1,46
Westchester,NEW YORK,36119,41.1763139, -73.7907554,29626,1067,21427
Wyoming,NEW YORK,36121,42.7039813, -78.2415228,69,5,47
Yates,NEW YORK,36123,42.6444444, -77.112177,18,1,2
Bronx,NEW YORK,36005,40.8466508,-73.8785937,38973,,
Brooklyn,NEW YORK,36047,40.6501038,-73.9495823,45341,,
Manhattan,NEW YORK,36061,40.7896239,-73.9598939,21125,,
Queens,NEW YORK,36081,40.7498243,-73.7976337,52845,,
Staten Island,NEW YORK,36085,40.5834557,-74.1496048,12169,,
