Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Total Tested,Population
USA,2089701,,116034 ,,816086,1157581,16827,23073470,330901704 
Brazil,805649,,41058 ,,396692,367899,8318,1364423,212479860 
Russia,502436,,6532 ,,261150,234754,2300,13875097,145931382 
India,298283,,8501 ,,146972,142810,8944,5363445,1379270740 
UK,291409,,41279 ,,N/A,N/A,516,6240801,67867577 
Spain,289787,,27136 ,,N/A,N/A,617,4465338,46753887 
Italy,236142,,34167 ,,171338,30637,236,4443821,60466117 
Peru,214788,,6109 ,,102429,106250,1065,1282478,32946025 
Germany,186795,,8851 ,,171200,6744,462,4694147,83770376 
Iran,180156,,8584 ,,142663,28909,2728,1173208,83933136 
Turkey,174023,,4763 ,,147860,21400,643,2500890,84289552 
France,155561,,29346 ,,72149,54066,903,1384633,65266270 
Chile,154092,,2648 ,,126444,25000,1689,781043,19107435 
Mexico,133974,4790,15944 ,587,98064,19966,378,369362,128859025 
Pakistan,125933,6397,2463 ,107,40247,83223,111,809169,220638507 
Saudi Arabia,116021,,857 ,,80019,35145,1738,1042312,34782906 
Canada,97530,,7994 ,,57658,31878,1878,2028496,37724444 
Bangladesh,78052,,1049 ,,16747,60256,1,457332,164600549 
Qatar,75071,,69 ,,51331,23671,230,274793,2807805 
Belgium,59711,,9636 ,,16453,33622,99,983670,11587039 
South Africa,58568,,1284 ,,33252,24032,208,1028399,59267163 
Belarus,51816,,293 ,,26643,24880,92,678570,9449475 
Sweden,48288,,4814 ,,N/A,N/A,272,325000,10095978 
Netherlands,48251,,6044 ,,N/A,N/A,77,446164,17132971 
Colombia,45212,,1488 ,,17790,25934,335,458324,50853330 
Ecuador,44440,,3720 ,,21862,18858,219,128175,17627809 
UAE,40986,,286 ,,25234,15466,1,2582000,9883799 
Egypt,39726,,1377 ,,10691,27658,41,135000,102220760 
Singapore,39387,,25 ,,27286,12076,2,488695,5847901 
Portugal,35910,,1504 ,,22002,12404,70,954069,10198122 
Indonesia,35295,,2000 ,,12636,20659,,463620,273366090 
Kuwait,34432,,279 ,,24137,10016,184,327144,4266990 
Switzerland,31044,,1937 ,,28800,307,18,441628,8651283 
Ukraine,29070,,854 ,,13141,15075,306,456509,43745847 
Poland,28201,,1215 ,,13696,13290,75,1129039,37848619 
Argentina,27373,,765 ,,8332,18276,274,214807,45173491 
Ireland,25238,,1703 ,,22698,837,28,367780,4934765 
Philippines,24175,,1036 ,,5165,17974,82,473281,109499539 
Afghanistan,22890,,426 ,,3326,19138,19,52546,38874978 
Dominican Republic,21437,,561 ,,12541,8335,110,100035,10842017 
Romania,21182,,1369 ,,15283,4530,153,531619,19243552 
Oman,19954,,89 ,,6623,13242,92,129527,5098511 
Panama,18586,,418 ,,10977,7191,96,82774,4310882 
Israel,18569,,300 ,,15250,3019,24,706906,9197590 
Japan,17292,,920 ,,15383,989,88,328730,126494838 
Austria,17034,,674 ,,15949,411,13,506344,9003730 
Iraq,16675,,457 ,,6568,9650,98,339868,40167590 
Bahrain,16667,,34 ,,11487,5146,14,393910,1697568 
Bolivia,16165,884,533 ,21,2372,13260,71,39610,11664091 
Armenia,14669,,245 ,,5466,8958,10,75389,2962966 
Nigeria,14554,,387 ,,4494,9673,7,85375,205822203 
Kazakhstan,13872,314,67 ,,8593,5212,62,1050098,18764311 
Serbia,12102,,252 ,,11348,502,14,291996,8739024 
Denmark,12035,,593 ,,10955,487,14,749467,5791166 
S. Korea,12003,56,277 ,1,10669,1057,15,1081487,51267003 
Moldova,10727,,375 ,,6072,4280,339,63328,4034411 
Algeria,10589,,741 ,,7255,2593,33,,43804765 
Ghana,10358,,48 ,,3824,6486,10,240204,31034041 
Czechia,9855,,328 ,,7166,2361,10,487334,10707989 
Azerbaijan,8882,,108 ,,4930,3844,66,362654,10134274 
Cameroon,8681,,212 ,,4836,3633,28,,26504775 
Norway,8608,,242 ,,8138,228,4,272905,5418993 
Guatemala,8561,340,334 ,18,1567,6660,5,31427,17896120 
Morocco,8537,,211 ,,7583,743,7,372591,36886438 
Malaysia,8369,,118 ,,7065,1186,5,618360,32342925 
Honduras,7669,309,294 ,4,837,6538,13,21540,9895582 
Australia,7288,3,102 ,,6777,409,2,1744867,25483610 
Finland,7064,,325 ,,6200,539,4,211900,5540291 
Sudan,6730,148,413 ,12,2278,4039,,401,43786472 
Tajikistan,4834,,49 ,,3062,1723,,,9524612 
Senegal,4759,,55 ,,2994,1710,20,55634,16716133 
Uzbekistan,4741,,19 ,,3637,1085,11,748555,33441780 
Nepal,4614,,15 ,,861,3738,,294073,29106200 
DRC,4515,,98 ,,567,3850,,,89383696 
Ivory Coast,4404,,41 ,,2212,2151,,34272,26337705 
Djibouti,4398,,37 ,,2519,1842,,39299,987187 
Guinea,4372,,23 ,,3033,1316,24,14407,13110203 
Luxembourg,4052,,110 ,,3910,32,1,98232,625393 
Hungary,4039,,553 ,,2391,1095,19,222247,9661522 
Haiti,3941,145,64 ,6,24,3853,,8081,11394839 
North Macedonia,3538,,169 ,,1682,1687,34,40004,2083378 
Gabon,3463,,23 ,,1024,2416,17,19517,2222506 
El Salvador,3373,,68 ,4,1504,1801,101,116027,6484517 
