County,State,fips,Latitude,Longitude,Confirmed Cases,Deaths,Recoveries
Aleutians East Borough,ALASKA,02013,55.0512443, -162.8916892,0,0,0
Anchorage,ALASKA,02020,61.2163129, -149.8948523,190,4,130
Bristol Bay Borough,ALASKA,02060,58.7370341, -156.8753867,0,0,0
Denali Borough,ALASKA,02068,63.878678, -149.650166,0,0,0
Fairbanks North Star Borough,ALASKA,02090,64.8649039, -146.7751619,83,2,68
Haines Borough,ALASKA,02100,59.0831232, -135.3430573,0,0,0
Juneau,ALASKA,02110,58.3019496, -134.419734,27,0,24
Kenai Peninsula Borough,ALASKA,02122,60.0968272, -151.788033,22,1,17
Ketchikan Gateway Borough,ALASKA,02130,55.489748, -131.011963,16,0,15
Kodiak Island Borough,ALASKA,02150,57.5433765, -153.3574124,1,0,1
Lake and Peninsula Borough,ALASKA,02164,58.3277109, -156.154765,0,0,0
Matanuska-Susitna Borough,ALASKA,02170,62.3402481, -149.4793288,21,1,17
North Slope Borough,ALASKA,02185,69.5335129, -153.8220681,0,0,0
Northwest Arctic Borough,ALASKA,02188,67.2385127, -159.9816347,0,0,0
Petersburg Borough,ALASKA,02195,56.7512207, -133.4588406,4,1,2
Sitka,ALASKA,02220,57.0524973, -135.3376124,1,0,0
Skagway,ALASKA,02230,59.6226362, -135.4094368,0,0,0
Wrangell,ALASKA,02275,56.4708333, -132.3766667,0,0,0
Yakutat,ALASKA,02282,59.6391781, -139.3429439,0,0,0
Aleutians West Census Area,ALASKA,02016,51.5672222, 178.8776,0,0,0
Bethel Census Area,ALASKA,02050,60.392415, -162.3134907,1,0,0
Chugach Census Area,ALASKA,02261,64.00028, -150.00028,0,0,0
Copper River Census Area,ALASKA,0,64.00028, -150.00028,0,0,0
Dillingham Census Area,ALASKA,02070,59.9011107, -158.2016852,0,0,0
Hoonah Angoon Census Burough,ALASKA,0,58.064782, -135.6992375,0,0,0
Kusilvak Census Area,ALASKA,02158,62.2002165, -163.764702,0,0,0
Nome Census Area,ALASKA,02180,65.0031061, -163.0930151,1,0,1
Prince of Wales-Hyder Census Area,ALASKA,02198,55.5110315, -132.9986035,2,0,2
Southeast Fairbanks Census Area,ALASKA,02240,63.8489123, -143.9873581,1,0,0
Yukon-Koyukuk Census Area,ALASKA,02290,65.2266005, -153.5472287,1,0,0
