County,State,fips,Latitude,Longitude,Confirmed Cases,Deaths
Autauga,ALABAMA,01001,32.517,-86.632,312,6
Baldwin,ALABAMA,01003,30.568,-87.732,343,9
Barbour,ALABAMA,01005,31.859,-85.403,214,1
Bibb,ALABAMA,01007,32.971,-87.123,93,1
Blount,ALABAMA,01009,33.951,-86.57,87,1
Bullock,ALABAMA,01011,32.099,-85.709,253,8
Butler,ALABAMA,01013,32.09,-88.222,484,25
Calhoun,ALABAMA,01015,33.751,-85.832,184,3
Chambers,ALABAMA,01017,32.89,-85.387,417,26
Cherokee,ALABAMA,01019,34.114,-85.6,42,4
Chilton,ALABAMA,01021,32.852,-86.703,121,2
Choctaw,ALABAMA,01023,31.991,-88.282,162,11
Clarke,ALABAMA,01025,31.659,-87.819,165,3
Clay,ALABAMA,01027,33.7,-86.602,30,2
Cleburne,ALABAMA,01029,33.651,-85.502,20,1
Coffee,ALABAMA,01031,31.363,-85.987,260,1
Colbert,ALABAMA,01033,34.647,-87.792,230,5
Conecuh,ALABAMA,01035,31.397,-86.944,70,1
Coosa,ALABAMA,01037,32.918,-86.233,43,1
Covington,ALABAMA,01039,31.197,-86.46,98,1
Crenshaw,ALABAMA,01041,31.681,-86.324,99,3
Cullman,ALABAMA,01043,34.134,-86.878,220,1
Dale,ALABAMA,01045,31.394,-85.624,149,0
Dallas,ALABAMA,01047,32.312,-87.105,406,6
DeKalb,ALABAMA,01049,34.452,-85.766,291,5
Elmore,ALABAMA,01051,32.58,-86.125,471,9
Escambia,ALABAMA,01053,31.117,-87.107,93,3
Etowah,ALABAMA,01055,34.037,-86.022,287,12
Fayette,ALABAMA,01057,33.73,-87.742,23,0
Franklin,ALABAMA,01059,34.441,-87.834,652,10
Geneva,ALABAMA,01061,31.086,-85.803,46,0
Greene,ALABAMA,01063,32.862,-87.992,112,5
Hale,ALABAMA,01065,32.741,-87.656,219,11
Henry,ALABAMA,01067,31.484,-85.245,94,2
Houston,ALABAMA,01069,31.136,-85.265,270,5
Jackson,ALABAMA,01071,34.769,-85.987,107,3
Jefferson,ALABAMA,01073,33.523,-86.916,2250,116
Lamar,ALABAMA,01075,33.749,-88.1,30,0
Lauderdale,ALABAMA,01077,34.905,-87.675,207,3
Lawrence,ALABAMA,01079,34.478,-87.302,60,0
Lee,ALABAMA,01081,32.581,-85.308,625,35
Limestone,ALABAMA,01083,34.834,-86.99,162,0
Lowndes,ALABAMA,01085,32.109,-86.64,326,13
Macon,ALABAMA,01087,32.367,-85.666,110,5
Madison,ALABAMA,01089,34.774,-86.568,428,5
Marengo,ALABAMA,01091,32.201,-87.757,200,7
Marion,ALABAMA,01093,34.113,-87.854,129,12
Marshall,ALABAMA,01095,34.34,-86.33,786,9
Mobile,ALABAMA,01097,30.694,-88.043,2593,128
Monroe,ALABAMA,01099,31.559,-87.378,95,2
Montgomery,ALABAMA,01101,32.367,-86.301,2436,65
Morgan,ALABAMA,01103,34.43,-86.853,477,1
Perry,ALABAMA,01105,32.642,-87.288,56,0
Pickens,ALABAMA,01107,33.295,-88.124,131,6
Pike,ALABAMA,01109,33.259,-86.83,283,1
Randolph,ALABAMA,01111,33.265,-85.469,137,8
Russell,ALABAMA,01113,32.27,-85.196,250,0
St. Clair,ALABAMA,01115,33.709,-86.336,153,2
Shelby,ALABAMA,01117,33.25,-86.664,580,20
Sumter,ALABAMA,01119,32.523,-88.184,253,11
Talladega,ALABAMA,01121,33.397,-86.16,146,5
Tallapoosa,ALABAMA,01123,32.86,-85.802,454,66
Tuscaloosa,ALABAMA,01125,33.21,-87.568,1070,23
Walker,ALABAMA,01127,33.78,-87.277,500,6
Washington,ALABAMA,01129,31.399,-88.202,84,6
Wilcox,ALABAMA,01131,31.952,-87.301,190,8
Winston,ALABAMA,01133,34.133,-87.361,106,0
Unknown or Out of State,ALABAMA,None,32.75,-86.75,0,0
