County,State,fips,Latitude,Longitude,Confirmed Cases,Deaths,Recoveries
Arkansas,Arkansas,05001,34.291,-91.373,7,0,0
Ashley,Arkansas,05003,33.192,-91.77,34,0,0
Baxter,Arkansas,05005,36.288,-92.338,14,0,0
Benton,Arkansas,05007,36.336,-94.257,1137,5,0
Boone,Arkansas,05009,36.308,-93.094,7,0,0
Bradley,Arkansas,05011,33.468,-92.16,34,1,0
Carroll,Arkansas,05015,36.34,-93.543,42,1,0
Chicot,Arkansas,05017,33.265,-91.295,30,0,0
Clark,Arkansas,05019,34.046,-93.175,41,0,0
Clay,Arkansas,05021,36.368,-90.415,8,0,0
Cleburne,Arkansas,05023,35.539,-92.026,74,4,0
Cleveland,Arkansas,05025,33.897,-92.185,19,0,0
Columbia,Arkansas,05027,33.212,-93.226,26,2,0
Conway,Arkansas,05029,35.262,-92.705,16,1,0
Craighead,Arkansas,05031,35.83,-90.632,331,1,0
Crawford,Arkansas,05033,35.589,-94.245,43,0,0
Crittenden,Arkansas,05035,35.212,-90.308,489,9,0
Cross,Arkansas,05037,35.296,-90.772,67,0,0
Dallas,Arkansas,05039,33.97,-92.652,3,0,0
Desha,Arkansas,05041,33.83,-91.255,20,0,0
Drew,Arkansas,05043,33.59,-91.718,23,1,0
Faulkner,Arkansas,05045,35.147,-92.337,124,3,0
Franklin,Arkansas,05047,35.512,-93.893,5,0,0
Fulton,Arkansas,05049,36.382,-91.817,8,0,0
Garland,Arkansas,05051,34.577,-93.149,153,1,0
Grant,Arkansas,05053,34.29,-92.423,22,0,0
Greene,Arkansas,05055,36.117,-90.558,67,0,0
Hempstead,Arkansas,05057,33.733,-93.669,34,1,0
Hot Spring,Arkansas,05059,34.317,-92.954,34,0,0
Howard,Arkansas,05061,34.09,-93.993,35,0,0
Independence,Arkansas,05063,35.742,-91.57,36,0,0
Izard,Arkansas,05065,36.096,-91.908,17,1,0
Jackson,Arkansas,05067,35.598,-91.215,14,0,0
Jefferson,Arkansas,05069,34.268,-91.926,573,28,0
Johnson,Arkansas,05071,35.568,-93.46,71,0,0
Lafayette,Arkansas,05073,33.241,-93.607,10,1,0
Lawrence,Arkansas,05075,36.042,-91.109,89,9,0
Lee,Arkansas,05077,34.785,-90.784,120,1,0
Lincoln,Arkansas,05079,33.953,-91.74,985,11,0
Little River,Arkansas,05081,33.704,-94.235,31,0,0
Logan,Arkansas,05083,35.214,-93.72,14,0,0
Lonoke,Arkansas,05085,34.754,-91.887,64,0,0
Madison,Arkansas,05087,36.01,-93.725,58,0,0
Marion,Arkansas,05089,36.268,-92.685,2,0,0
Miller,Arkansas,05091,33.314,-93.893,60,1,0
Mississippi,Arkansas,05093,35.763,-90.052,86,2,0
Monroe,Arkansas,05095,34.682,-91.205,5,0,0
Montgomery,Arkansas,05097,34.537,-93.658,3,0,0
Nevada,Arkansas,05099,33.663,-93.306,70,0,0
Newton,Arkansas,05101,35.919,-93.216,3,0,0
Ouachita,Arkansas,05103,33.588,-92.878,12,0,0
Perry,Arkansas,05105,34.946,-92.944,15,0,0
Phillips,Arkansas,05107,34.433,-90.848,30,1,0
Pike,Arkansas,05109,34.163,-93.658,6,0,0
Poinsett,Arkansas,05111,35.574,-90.663,44,2,0
Polk,Arkansas,05113,34.483,-94.227,47,0,0
Pope,Arkansas,05115,35.449,-93.032,222,2,0
Prairie,Arkansas,05117,34.836,-91.552,5,0,0
Pulaski,Arkansas,05119,34.771,-92.314,1188,41,0
Randolph,Arkansas,05121,36.342,-91.025,27,0,0
Saline,Arkansas,05125,34.649,-92.676,159,2,0
Scott,Arkansas,05127,34.856,-94.063,2,0,0
Searcy,Arkansas,05129,35.911,-92.699,7,0,0
Sebastian,Arkansas,05131,35.196,-94.272,102,2,0
Sevier,Arkansas,05133,33.998,-94.242,382,2,0
Sharp,Arkansas,05135,36.163,-91.478,50,3,0
St. Francis,Arkansas,05123,35.022,-90.748,764,1,0
Stone,Arkansas,05137,35.863,-92.157,11,0,0
Union,Arkansas,05139,33.169,-92.597,190,11,0
Van Buren,Arkansas,05141,35.581,-92.513,30,2,0
Washington,Arkansas,05143,35.977,-94.218,1235,9,0
White,Arkansas,05145,35.257,-91.749,52,1,0
Woodruff,Arkansas,05147,35.189,-91.244,1,0,0
Yell,Arkansas,05149,35.003,-93.412,251,2,0
