County,State,fips,Latitude,Longitude,Confirmed Cases,Deaths
Apache,ARIZONA,04001,35.215,-109.479,1887,100
Cochise,ARIZONA,04003,31.851,-109.818,171,22
Coconino,ARIZONA,04005,35.936,-111.695,1317,259
Gila,ARIZONA,04007,33.752,-110.805,49,7
Graham,ARIZONA,04009,32.84,-109.869,48,7
Greenlee,ARIZONA,04011,33.231,-109.275,12,0
La Paz,ARIZONA,04012,33.792,-114.018,211,8
Maricopa,ARIZONA,04013,33.349,-112.491,16018,1856
Mohave,ARIZONA,04015,35.722,-113.827,563,113
Navajo,ARIZONA,04017,35.182,-110.355,2479,220
Pima,ARIZONA,04019,32.111,-111.655,3479,540
Pinal,ARIZONA,04021,32.809,-111.443,1281,150
Santa Cruz,ARIZONA,04023,31.509,-110.848,805,19
Yavapai,ARIZONA,04025,34.567,-112.552,359,23
Yuma,ARIZONA,04027,32.665,-114.476,2585,207
