County,State,fips,Latitude,Longitude,Confirmed Cases,Deaths
Adams,COLORADO,08001,39.8714085, -104.2701374,1815,68
Alamosa,COLORADO,08003,37.5780995, -105.7890452,14,2
Arapahoe,COLORADO,08005,39.6416781, -104.3628567,2758,157
Archuleta,COLORADO,08007,37.1995993, -107.0842479,8,
Baca,COLORADO,08009,37.3147687, -102.5770885,12,
Boulder,COLORADO,08013,40.0149856, -105.2705456,679,44
Broomfield,COLORADO,08014,39.9203827, -105.0691464,167,12
Chaffee,COLORADO,08015,38.7413025, -106.1825012,67,16
Clear Creek,COLORADO,08019,39.6754591, -105.6435349,13,1
Costilla,COLORADO,08023,37.2367948, -105.4182008,3,
Crowley,COLORADO,08025,38.3394806, -103.8263042,4,1
Custer,COLORADO,08027,38.1072962, -105.3543375,2,
Delta,COLORADO,08029,38.8368777, -107.8568294,51,1
Denver,COLORADO,08031,39.7392364, -104.9848623,3428,166
Douglas,COLORADO,08035,39.3420437, -104.9468945,531,23
Eagle,COLORADO,08037,39.6161124, -106.7172844,552,7
El Paso,COLORADO,08041,38.8287435, -104.5253456,1005,76
Elbert,COLORADO,08039,39.3138822, -104.0868973,32,1
Fremont,COLORADO,08043,38.4692006, -105.4328622,22,
Garfield,COLORADO,08045,39.5462048, -107.8776144,95,2
Gilpin,COLORADO,08047,39.8586654, -105.5025219,1,
Grand,COLORADO,08049,46.8549181, 9.515484,5,
Gunnison,COLORADO,08051,38.6476702, -107.0603126,168,5
Hinsdale,COLORADO,08053,37.813681, -107.3304179,3,
Huerfano,COLORADO,08055,37.7013983, -105.0218531,2,
Jefferson,COLORADO,08059,39.5699803, -105.2561919,1431,85
Kit Carson,COLORADO,08063,39.3080613, -102.62075,21,2
La Plata,COLORADO,08067,37.2889732, -107.8539029,63,
Lake,COLORADO,08065,39.273651, -106.289678,21,
Larimer,COLORADO,08069,40.6810174, -105.4726907,393,18
Las Animas,COLORADO,08071,37.3096626, -104.0591427,3,
Lincoln,COLORADO,08073,38.9208296, -103.4885462,3,
Logan,COLORADO,08075,40.7250975, -103.1221379,290,1
Mesa,COLORADO,08077,39.0589084, -108.565996,46,
Mineral,COLORADO,08079,37.6584133, -106.9311267,2,
Moffat,COLORADO,08081,40.6083135, -108.252345,6,
Montezuma,COLORADO,08083,37.3476546, -108.6260849,18,2
Montrose,COLORADO,08085,38.4375391, -108.2403855,106,11
Morgan,COLORADO,08087,40.2407621, -103.8225695,413,20
Otero,COLORADO,08089,37.8872079, -103.7415268,10,1
Ouray,COLORADO,08091,38.146044, -107.7414887,5,1
Park,COLORADO,08093,38.7251776, -105.6077167,14,
Phillips,COLORADO,08095,40.5888329, -102.3701723,5,
Pitkin,COLORADO,08097,39.2037774, -106.8695332,51,2
Prowers,COLORADO,08099,37.9455797, -102.4130793,1,
Pueblo,COLORADO,08101,38.2544472, -104.609141,157,11
Rio Blanco,COLORADO,08103,39.9847294, -108.1807779,1,
Rio Grande,COLORADO,08105,37.5668223, -106.3832155,7,
Routt,COLORADO,08107,40.4514373, -106.9724072,56,6
Saguache,COLORADO,08109,38.0945348, -106.3563372,3,
San Miguel,COLORADO,08113,37.9634597, -108.4118482,20,
Summit,COLORADO,08117,39.6070951, -106.0636654,144,1
Teller,COLORADO,08119,38.889575, -105.1797307,28,2
Washington,COLORADO,08121,39.9017011, -103.1521676,8,
Weld,COLORADO,08123,40.5632344, -104.4835287,1897,102
Yuma,COLORADO,08125,40.0163487, -102.458253,9,
*Unknown or pending,COLORADO,08,38.7251776,-105.6077167,238,2
Out of state,COLORADO,08,-105.6077167,-105.6077167,,2
