County,State,fips,Latitude,Longitude,Confirmed Cases,Deaths,Recoveries
Alachua,FLORIDA,12001,29.675568, -82.3640109,330,58,5
Baker,FLORIDA,12003,30.3143459, -82.2847163,26,8,3
Bay,FLORIDA,12005,27.7567667, -81.4639835,78,9,3
Bradford,FLORIDA,12007,29.9715087, -82.1608653,49,10,2
Brevard,FLORIDA,12009,28.2446658, -80.728624,348,52,9
Broward,FLORIDA,12011,26.1598074, -80.4623642,6057,1144,258
Calhoun,FLORIDA,12013,30.3853734, -85.2223516,33,4,0
Charlotte,FLORIDA,12015,26.9013269, -81.9156799,357,69,35
Citrus,FLORIDA,12017,28.8512851, -82.5141209,109,28,11
Clay,FLORIDA,12019,29.9766524, -81.8470596,305,82,22
Collier,FLORIDA,12021,26.087964, -81.3794941,882,130,32
Columbia,FLORIDA,12023,3.3008049, -76.1905433,107,9,2
DeSoto,FLORIDA,12027,27.190253, -81.8244232,52,12,6
Dixie,FLORIDA,12029,29.6214008, -83.17351,18,3,0
Duval,FLORIDA,12031,30.3540073, -81.6632109,1215,190,29
Escambia,FLORIDA,12033,30.6625885, -87.3451089,671,52,19
Flagler,FLORIDA,12035,29.4844412, -81.2917415,148,15,4
Franklin,FLORIDA,12037,29.8323143, -84.8239118,2,0,0
Gadsden,FLORIDA,12039,30.5937346, -84.6389937,137,30,0
Gilchrist,FLORIDA,12041,29.7131619, -82.7975172,6,0,0
Glades,FLORIDA,12043,26.9328123, -81.1895983,8,3,1
Gulf,FLORIDA,12045,29.9665252, -85.2175889,1,0,0
Hamilton,FLORIDA,12047,30.5232289, -82.9763531,19,0,0
Hardee,FLORIDA,12049,27.4856349, -81.8196804,36,6,0
Hendry,FLORIDA,12051,26.597094, -81.1520667,159,30,6
Hernando,FLORIDA,12053,28.5710156, -82.4605068,104,21,5
Highlands,FLORIDA,12055,27.3513186, -81.3615717,103,33,8
Hillsborough,FLORIDA,12057,27.9184543, -82.3488057,1530,312,46
Holmes,FLORIDA,12059,30.8918676, -85.8138207,10,0,0
Indian River,FLORIDA,12061,27.7041555, -80.5894422,103,25,9
Jackson,FLORIDA,12063,30.8013861, -85.2063186,105,3,0
Jefferson,FLORIDA,12065,30.3949531, -83.9326576,28,7,2
Lafayette,FLORIDA,12067,29.9978185, -83.2221527,5,0,0
Lake,FLORIDA,12069,28.876887, -81.695584,248,62,14
Lee,FLORIDA,12071,26.5999265, -81.8823135,1350,322,74
Leon,FLORIDA,12073,30.4683062, -84.2549068,265,33,6
Levy,FLORIDA,12075,29.3008632, -82.7824592,22,2,0
Liberty,FLORIDA,12077,30.2506943, -84.8955989,199,0,0
Madison,FLORIDA,12079,30.4514352, -83.4524524,62,4,3
Manatee,FLORIDA,12081,27.5213933, -82.3801566,813,190,78
Marion,FLORIDA,12083,29.2182454, -82.0626948,217,30,5
Martin,FLORIDA,12085,27.7567667, -81.4639835,281,49,6
Miami-Dade,FLORIDA,12086,25.6364246, -80.4989467,14742,2270,535
Monroe,FLORIDA,12087,25.0405135, -80.8337157,95,10,3
Nassau,FLORIDA,12089,30.6624329, -81.7707334,63,13,1
Okaloosa,FLORIDA,12091,30.6765961, -86.6037748,172,27,5
Okeechobee,FLORIDA,12093,27.3923408, -80.8873655,32,5,0
Orange,FLORIDA,12095,28.5421109, -81.3790304,1577,282,36
Osceola,FLORIDA,12097,28.0443842, -81.1437541,584,141,16
Palm Beach,FLORIDA,12099,26.6279798, -80.4494174,4278,736,263
Pasco,FLORIDA,12101,28.2996183, -82.4522702,308,61,9
Pinellas,FLORIDA,12103,27.8778904, -82.7329309,962,265,65
Polk,FLORIDA,12105,27.9448537, -81.7268789,698,222,37
Putnam,FLORIDA,12107,29.6266155, -81.7230549,127,15,3
Santa Rosa,FLORIDA,12113,30.6964502, -87.0097524,180,23,9
Sarasota,FLORIDA,12115,27.3364347, -82.5306527,488,143,57
Seminole,FLORIDA,12117,28.7225829, -81.2353683,426,97,11
St. Johns,FLORIDA,12109,29.9032284, -81.4145468,231,36,5
St. Lucie,FLORIDA,12111,27.3900897, -80.457904,301,81,26
Sumter,FLORIDA,12119,28.6689748, -82.076402,247,42,16
Suwannee,FLORIDA,12121,30.2101192, -82.9873377,151,35,18
Taylor,FLORIDA,12123,30.0926733, -83.6377926,3,0,0
Union,FLORIDA,12125,30.044304, -82.3954479,14,1,0
Volusia,FLORIDA,12127,29.0533409, -81.1310761,576,112,30
Wakulla,FLORIDA,12129,30.1480038, -84.3543512,31,5,1
Walton,FLORIDA,12131,30.6204939, -86.1912678,73,11,2
Washington,FLORIDA,12133,30.6009343, -85.6762025,12,1,0
Unknown,FLORIDA,12,27.7567667,-81.4639835,76,0,0
