County,State,fips,Latitude,Longitude,Confirmed Cases,Deaths
Fulton,GEORGIA,13121,34.06,-84.27,4004 ,196 
Dekalb,GEORGIA,13089,33.76,-84.26,3186 ,102 
Gwinnett,GEORGIA,13135,33.94,-84.2,3039 ,122 
Cobb,GEORGIA,13067,33.95,-84.54,2696 ,142 
Hall,GEORGIA,13139,34.29,-83.83,2322 ,41 
Dougherty,GEORGIA,13095,31.57,-84.17,1727 ,139 
Clayton,GEORGIA,13063,33.52,-84.35,1119 ,43 
Cherokee,GEORGIA,13057,34.05,-84.67,809 ,29 
Henry,GEORGIA,13151,33.38,-84.28,632 ,19 
Muscogee,GEORGIA,13215,32.58,-84.84,549 ,17 
Richmond,GEORGIA,13245,33.29,-82.19,526 ,18 
Douglas,GEORGIA,13097,33.77,-84.64,490 ,22 
Habersham,GEORGIA,13137,34.47,-83.57,489 ,19 
Forsyth,GEORGIA,13117,34.2,-84.13,447 ,12 
Bartow,GEORGIA,13015,34.36,-84.91,445 ,36 
Chatham,GEORGIA,13051,32.1,-81.25,445 ,21 
Carroll,GEORGIA,13045,33.53,-85.25,444 ,24 
Sumter,GEORGIA,13261,32.07,-84.22,444 ,40 
Bibb,GEORGIA,13021,32.76,-83.86,433 ,24 
Mitchell,GEORGIA,13205,31.37,-84.16,399 ,32 
Houston,GEORGIA,13153,32.5,-83.56,343 ,16 
Lee,GEORGIA,13177,31.73,-84.17,343 ,22 
Baldwin,GEORGIA,13009,32.99,-83.29,331 ,24 
Coweta,GEORGIA,13077,33.23,-84.82,325 ,8 
Thomas,GEORGIA,13275,30.79,-83.79,310 ,31 
Newton,GEORGIA,13217,33.6,-83.85,296 ,10 
Colquitt,GEORGIA,13071,31.06,-83.62,290 ,14 
Barrow,GEORGIA,13013,34.01,-83.83,284 ,11 
Whitfield,GEORGIA,13313,34.95,-84.95,278 ,7 
Paulding,GEORGIA,13223,33.91,-84.83,277 ,11 
Upson,GEORGIA,13293,32.96,-84.24,272 ,33 
Rockdale,GEORGIA,13247,33.66,-84.01,265 ,9 
Spalding,GEORGIA,13255,33.27,-84.27,253 ,14 
Coffee,GEORGIA,13069,31.59,-83.01,247 ,13 
Troup,GEORGIA,13285,33.16,-84.9,246 ,9 
Early,GEORGIA,13099,31.33,-84.94,236 ,29 
Lowndes,GEORGIA,13185,30.84,-83.27,235 ,4 
Floyd,GEORGIA,13115,34.47,-85.21,226 ,14 
Clarke,GEORGIA,13059,33.95,-83.39,224 ,13 
Columbia,GEORGIA,13073,33.6,-82.31,223 ,6 
Crisp,GEORGIA,13081,31.96,-83.77,221 ,7 
Fayette,GEORGIA,13113,33.29,-84.45,220 ,11 
Tift,GEORGIA,13277,31.41,-83.39,214 ,14 
Terrell,GEORGIA,13273,31.82,-84.32,211 ,26 
Butts,GEORGIA,13035,33.25,-83.89,209 ,20 
Ware,GEORGIA,13299,31.21,-82.35,209 ,13 
