County,State,fips,Latitude,Longitude,Confirmed Cases,Deaths,Recoveries
Adair,IOWA,19001,41.5,-94.31,6,0,2
Adams,IOWA,19003,41.04,-94.82,1,0,0
Allamakee,IOWA,19005,43.46,-91.51,114,4,81
Appanoose,IOWA,19007,40.73,-92.87,8,3,2
Audubon,IOWA,19009,41.71,-94.92,11,1,8
Benton,IOWA,19011,41.99,-91.85,36,1,29
Black Hawk,IOWA,19013,42.52,-92.45,1604,31,891
Boone,IOWA,19015,42.03,-94.14,36,0,19
Bremer,IOWA,19017,42.67,-92.33,65,5,53
Buchanan,IOWA,19019,42.61,-91.72,26,0,23
Buena Vista,IOWA,19021,42.78,-94.94,114,0,16
Butler,IOWA,19023,42.75,-92.79,14,0,12
Calhoun,IOWA,19025,42.27,-94.4,2,0,0
Carroll,IOWA,19027,41.87,-94.67,7,0,5
Cass,IOWA,19029,41.44,-94.76,2,0,1
Cedar,IOWA,19031,41.88,-91.05,43,1,40
Cerro Gordo,IOWA,19033,43.15,-93.19,17,0,13
Cherokee,IOWA,19035,42.71,-95.43,9,0,6
Chickasaw,IOWA,19037,43.19,-92.41,7,0,6
Clarke,IOWA,19039,41.04,-93.94,18,0,5
Clay,IOWA,19041,42.91,-95.34,9,0,9
Clayton,IOWA,19043,42.63,-91.2,30,3,24
Clinton,IOWA,19045,41.99,-90.6,61,1,49
Crawford,IOWA,19047,41.91,-95.13,389,1,174
Dallas,IOWA,19049,41.61,-94.02,792,11,428
Davis,IOWA,19051,40.74,-92.41,13,0,6
Decatur,IOWA,19053,40.64,-93.81,0,0,0
Delaware,IOWA,19055,42.47,-91.59,12,0,10
Des Moines,IOWA,19057,40.8,-91.12,40,1,24
Dickinson,IOWA,19059,43.36,-95.13,6,0,6
Dubuque,IOWA,19061,42.5,-90.69,285,10,131
Emmet,IOWA,19063,43.39,-94.47,1,0,1
Fayette,IOWA,19065,42.74,-91.67,25,0,23
Floyd,IOWA,19067,43.12,-92.73,11,1,2
Franklin,IOWA,19069,42.6,-93.2,7,0,3
Fremont,IOWA,19071,40.71,-95.48,3,0,1
Greene,IOWA,19073,42.15,-94.47,13,0,12
Grundy,IOWA,19075,42.22,-92.82,17,0,12
Guthrie,IOWA,19077,41.5,-94.64,39,3,26
Hamilton,IOWA,19079,42.47,-93.64,11,0,7
Hancock,IOWA,19081,43.09,-93.8,5,0,2
Hardin,IOWA,19083,42.51,-93.37,12,0,7
Harrison,IOWA,19085,41.85,-95.59,18,0,17
