County,State,fips,Latitude,Longitude,Confirmed Cases,Deaths
Ada,IDAHO,16001,43.79,-116.38,854,22
Adams,IDAHO,16003,44.89,-116.54,3,0
Bannock,IDAHO,16005,42.9,-112.39,52,1
Bear Lake,IDAHO,16007,42.36,-111.37,0,0
Benewah,IDAHO,16009,47.12,-116.91,19,0
Bingham,IDAHO,16011,43.09,-112.84,23,0
Blaine,IDAHO,16013,43.39,-114.24,515,5
Boise,IDAHO,16015,44.1,-116.13,0,0
Bonner,IDAHO,16017,48.04,-116.96,7,0
Bonneville,IDAHO,16019,43.5,-111.89,68,0
Boundary,IDAHO,16021,48.75,-116.51,0,0
Butte,IDAHO,16023,43.65,-113.28,0,0
Camas,IDAHO,16025,43.35,-114.98,1,0
Canyon,IDAHO,16027,43.66,-116.63,351,6
Caribou,IDAHO,16029,42.79,-111.91,3,0
Cassia,IDAHO,16031,42.38,-113.6,123,1
Clark,IDAHO,16033,44.22,-112.37,0,0
Clearwater,IDAHO,16035,46.52,-116.3,0,0
Custer,IDAHO,16037,44.65,-114.15,2,0
Elmore,IDAHO,16039,43.8,-115.15,33,2
Franklin,IDAHO,16041,42.18,-112.03,10,0
Fremont,IDAHO,16043,44.05,-111.32,4,0
Gem,IDAHO,16045,43.98,-116.52,17,0
Gooding,IDAHO,16047,43.01,-114.94,57,0
Idaho,IDAHO,16049,45.94,-116.52,3,0
Jefferson,IDAHO,16051,43.98,-112.18,9,0
Jerome,IDAHO,16053,42.57,-114.25,202,2
Kootenai,IDAHO,16055,47.96,-116.68,91,0
Latah,IDAHO,16057,46.55,-116.74,7,0
Lemhi,IDAHO,16059,45.11,-114.43,1,0
Lewis,IDAHO,16061,46.23,-116.48,0,0
Lincoln,IDAHO,16063,42.87,-114.24,34,0
Madison,IDAHO,16065,43.86,-111.42,27,0
Minidoka,IDAHO,16067,42.56,-113.81,85,0
Nez Perce,IDAHO,16069,46.16,-116.92,84,19
Oneida,IDAHO,16071,42.2,-112.67,0,0
Owyhee,IDAHO,16073,42.57,-115.85,8,0
Payette,IDAHO,16075,43.96,-116.91,26,2
Power,IDAHO,16077,42.72,-112.99,9,0
Shoshone,IDAHO,16079,47.17,-115.8,0,0
Teton,IDAHO,16081,43.73,-111.22,11,0
Twin Falls,IDAHO,16083,42.41,-114.59,469,25
Valley,IDAHO,16085,44.59,-115.57,3,0
Washington,IDAHO,16087,44.62,-116.7,49,0
