County,State,fips,Latitude,Longitude,Confirmed Cases,Deaths,Recoveries
Adams,ILLINOIS,17001,39.9787786, -91.2110065,41,1,34
Alexander,ILLINOIS,17003,37.1801529, -89.3502834,8,0,4
Bond,ILLINOIS,17005,38.8630331, -89.4391416,10,1,6
Boone,ILLINOIS,17007,42.321246, -88.8235511,268,13,36
Brown,ILLINOIS,17009,39.9498214, -90.7485656,9,0,0
Bureau,ILLINOIS,17011,41.4016294, -89.5341179,15,1,6
Calhoun,ILLINOIS,17013,39.1397507, -90.6506113,1,0,1
Carroll,ILLINOIS,17015,42.0647352, -89.9556785,12,2,9
Cass,ILLINOIS,17017,39.9682127, -90.250722,66,0,30
Champaign,ILLINOIS,17019,40.1346857, -88.1975558,324,7,179
Christian,ILLINOIS,17021,39.5212598, -89.2829783,30,4,0
Clark,ILLINOIS,17023,39.3260541, -87.7838526,9,0,6
Clay,ILLINOIS,17025,38.7340694, -88.4910693,2,0,0
Clinton,ILLINOIS,17027,38.5896187, -89.420064,155,13,48
Coles,ILLINOIS,17029,39.5266741, -88.2184999,62,4,22
Cook,ILLINOIS,17031,41.8197385, -87.756525,58457,2675,245
Crawford,ILLINOIS,17033,39.0131644, -87.7291001,11,0,10
Cumberland,ILLINOIS,17035,39.2744299, -88.2423795,8,0,4
DeKalb,ILLINOIS,17037,41.8903447, -88.7713953,217,2,0
DeWitt,ILLINOIS,None,40.1734773, -88.9003733,4,0,3
Douglas,ILLINOIS,17041,39.7628415, -88.2170516,22,0,0
DuPage,ILLINOIS,17043,41.8603735, -88.0906873,5453,279,0
Edwards,ILLINOIS,17047,38.410254, -88.0584362,2,0,0
Effingham,ILLINOIS,17049,39.0520902, -88.6029006,6,1,4
Fayette,ILLINOIS,17051,39.0001282, -89.0430211,17,2,13
Ford,ILLINOIS,17053,40.4980955, -88.2552987,15,1,11
Franklin,ILLINOIS,17055,37.9765409, -88.9335327,11,0,8
Fulton,ILLINOIS,17057,40.4714305, -90.1845556,6,0,3
Gallatin,ILLINOIS,17059,37.7509507, -88.2264519,2,0,2
Greene,ILLINOIS,17061,39.3573664, -90.3898985,4,0,0
Grundy,ILLINOIS,17063,41.2747363, -88.4119361,65,1,40
Hamilton,ILLINOIS,17065,38.0619569, -88.5301136,2,0,0
Hancock,ILLINOIS,17067,40.3941712, -91.1458063,12,0,7
Hardin,ILLINOIS,17069,37.5137015, -88.2675733,1,0,1
Henderson,ILLINOIS,17071,40.8156124, -90.9104547,7,0,2
Henry,ILLINOIS,17073,41.3418549, -90.1177442,62,0,16
Iroquois,ILLINOIS,17075,40.7351265, -87.8309209,107,3,34
Jackson,ILLINOIS,17077,37.7668943, -89.3563845,175,10,123
Jasper,ILLINOIS,17079,39.0082423, -88.1552371,45,7,35
Jefferson,ILLINOIS,17081,38.3010487, -88.9344303,98,17,77
