County,State,fips,Latitude,Longitude,Confirmed Cases,Deaths
Adams,INDIANA,18001,40.65,-84.95,24,1
Allen,INDIANA,18003,41.1,-85.3,2089,78
Bartholomew,INDIANA,18005,39.21,-85.91,542,40
Benton,INDIANA,18007,40.51,-87.38,37,0
Blackford,INDIANA,18009,40.37,-85.2,29,2
Boone,INDIANA,18011,40.05,-86.47,347,36
Brown,INDIANA,18013,39.28,-86.3,35,1
Carroll,INDIANA,18015,40.51,-86.52,97,2
Cass,INDIANA,18017,40.58,-86.19,1592,9
Clark,INDIANA,18019,38.53,-85.41,552,42
Clay,INDIANA,18021,39.38,-86.99,56,3
Clinton,INDIANA,18023,40.19,-86.66,251,1
Crawford,INDIANA,18025,38.31,-86.61,27,0
Daviess,INDIANA,18027,38.65,-87.17,116,16
Dearborn,INDIANA,18029,39.06,-84.9,177,22
Decatur,INDIANA,18031,39.43,-85.35,235,32
DeKalb,INDIANA,18033,41.527,-85.814,94,2
Delaware,INDIANA,18035,40.19,-85.39,399,43
Dubois,INDIANA,18037,38.31,-86.69,233,4
Elkhart,INDIANA,18039,41.72,-85.81,1876,30
Fayette,INDIANA,18041,39.62,-85.3,80,7
Floyd,INDIANA,18043,38.31,-85.86,332,42
Fountain,INDIANA,18045,40.28,-87.24,23,2
Franklin,INDIANA,18047,39.49,-84.83,119,8
Fulton,INDIANA,18049,40.94,-86.26,52,1
Gibson,INDIANA,18051,38.2,-87.57,22,2
Grant,INDIANA,18053,40.57,-85.87,250,24
Greene,INDIANA,18055,39.02,-86.93,177,28
Hamilton,INDIANA,18057,40.17,-86.02,1245,95
Hancock,INDIANA,18059,39.93,-85.84,367,28
Harrison,INDIANA,18061,38.36,-86.06,198,22
Hendricks,INDIANA,18063,39.68,-86.61,1246,86
Henry,INDIANA,18065,39.79,-85.52,200,13
Howard,INDIANA,18067,40.47,-86.13,454,44
Huntington,INDIANA,18069,40.85,-85.6,49,2
Jackson,INDIANA,18071,38.88,-86.04,413,2
Jasper,INDIANA,18073,41.16,-87.26,81,1
Jay,INDIANA,18075,40.53,-84.96,60,0
Jefferson,INDIANA,18077,38.86,-85.3,51,1
Jennings,INDIANA,18079,39.12,-85.49,136,4
Johnson,INDIANA,18081,39.51,-86.16,1157,114
Knox,INDIANA,18083,38.77,-87.3,34,0
Kosciusko,INDIANA,18085,41.26,-85.97,271,2
LaGrange,INDIANA,18087,39.825,-85.985,219,3
Lake,INDIANA,18089,41.377,-87.447,4057,223
LaPorte,INDIANA,18091,41.609,-86.721,465,24
Lawrence,INDIANA,18093,38.91,-86.59,172,24
Madison,INDIANA,18095,40.25,-85.67,610,61
Marion,INDIANA,18097,39.71,-86.08,10492,643
Marshall,INDIANA,18099,41.23,-86.24,261,3
Martin,INDIANA,18101,38.91,-86.91,15,0
Miami,INDIANA,18103,40.6,-85.92,153,1
Monroe,INDIANA,18105,39.16,-86.52,184,18
Montgomery,INDIANA,18107,39.98,-87.05,260,19
Morgan,INDIANA,18109,39.54,-86.37,294,28
Newton,INDIANA,18111,41.12,-87.45,86,10
Noble,INDIANA,18113,41.39,-85.41,311,24
Ohio,INDIANA,18115,38.95,-84.85,13,0
Orange,INDIANA,18117,38.46,-86.27,132,23
Owen,INDIANA,18119,39.24,-86.98,37,1
Parke,INDIANA,18121,39.75,-87.06,19,0
Perry,INDIANA,18123,38.16,-86.58,55,1
Pike,INDIANA,18125,38.48,-87.1,6,0
Porter,INDIANA,18127,41.68,-86.97,582,33
Posey,INDIANA,18129,38.18,-87.7,18,0
Pulaski,INDIANA,18131,41.15,-86.48,52,1
Putnam,INDIANA,18133,39.76,-86.81,149,8
Randolph,INDIANA,18135,40.18,-85.12,62,3
Ripley,INDIANA,18137,39.29,-85.21,109,6
Rush,INDIANA,18139,39.65,-85.57,50,3
Scott,INDIANA,18143,38.74,-85.81,140,3
Shelby,INDIANA,18145,39.56,-85.91,406,22
Spencer,INDIANA,18147,38.16,-86.98,22,1
St. Joseph,INDIANA,18141,41.66,-86.16,1481,45
Starke,INDIANA,18149,41.21,-86.77,48,3
Steuben,INDIANA,18151,41.64,-85.0,100,2
Sullivan,INDIANA,18153,38.96,-87.4,41,1
Switzerland,INDIANA,18155,38.87,-85.07,21,0
Tippecanoe,INDIANA,18157,40.41,-86.87,466,5
Tipton,INDIANA,18159,40.26,-86.18,27,1
Union,INDIANA,18161,39.56,-84.81,12,0
Vanderburgh,INDIANA,18163,38.09,-87.57,316,4
Vermillion,INDIANA,18165,39.65,-87.46,10,0
Vigo,INDIANA,18167,39.47,-87.38,198,8
Wabash,INDIANA,18169,40.67,-85.72,88,2
Warren,INDIANA,18171,40.48,-87.51,14,1
Warrick,INDIANA,18173,38.04,-87.27,170,29
Washington,INDIANA,18175,38.65,-86.26,56,1
Wayne,INDIANA,18177,39.74,-84.85,94,6
Wells,INDIANA,18179,40.74,-85.17,47,0
White,INDIANA,18181,40.6,-86.86,241,9
Whitley,INDIANA,18183,41.23,-85.32,62,3
