County,State,fips,Latitude,Longitude,Confirmed Cases,Deaths,Recoveries
Adair,IOWA,19001,41.3127814, -94.4953303,3,0,2
Adams,IOWA,19003,41.0161621, -94.6850186,0,0,0
Allamakee,IOWA,19005,43.2961731, -91.3961856,113,4,79
Appanoose,IOWA,19007,40.7455904, -92.8649061,7,3,1
Audubon,IOWA,19009,41.670205, -94.9106526,10,0,4
Benton,IOWA,19011,42.0599693, -92.0776319,35,1,20
Black Hawk,IOWA,19013,42.4607526, -92.3030235,1521,28,749
Boone,IOWA,19015,42.0171798, -93.9254114,36,0,16
Bremer,IOWA,19017,42.7669649, -92.3099856,60,5,48
Buchanan,IOWA,19019,42.4634928, -91.8449198,23,0,19
Buena Vista,IOWA,19021,42.7445814, -95.1127525,41,0,8
Butler,IOWA,19023,42.7336512, -92.7819493,12,0,9
Calhoun,IOWA,19025,42.3808184, -94.6332459,1,0,0
Carroll,IOWA,19027,42.0193628, -94.860335,6,0,2
Cass,IOWA,19029,41.3122834, -94.9215151,1,0,1
Cedar,IOWA,19031,41.7608608, -91.1263198,44,1,36
Cerro Gordo,IOWA,19033,43.0742443, -93.2548746,14,0,12
Cherokee,IOWA,19035,42.7247968, -95.6249803,6,0,3
Chickasaw,IOWA,19037,43.05994, -92.316679,7,0,3
Clarke,IOWA,19039,41.0152092, -93.7842976,8,0,2
Clay,IOWA,19041,43.0809373, -95.1407762,9,0,6
Clayton,IOWA,19043,42.8547706, -91.3667151,28,3,12
Clinton,IOWA,19045,41.9054695, -90.5599971,58,1,39
Crawford,IOWA,19047,42.020579, -95.3811884,197,1,74
Dallas,IOWA,19049,41.6744179, -94.0394437,712,7,301
Davis,IOWA,19051,40.7474784, -92.3965311,11,0,1
Decatur,IOWA,19053,40.7418231, -93.7994193,0,0,0
Delaware,IOWA,19055,42.4663805, -91.3621282,10,0,7
Des Moines,IOWA,19057,40.9195431, -91.1971044,43,1,19
Dickinson,IOWA,19059,43.3753018, -95.1654279,6,0,6
Dubuque,IOWA,19061,42.4692988, -90.8742047,203,7,69
Emmet,IOWA,19063,43.3707528, -94.6749933,0,0,0
Fayette,IOWA,19065,42.8420766, -91.850265,24,0,13
Floyd,IOWA,19067,43.0587894, -92.7830539,6,1,0
Franklin,IOWA,19069,42.7285907, -93.2513168,7,0,2
Fremont,IOWA,19071,40.7345943, -95.5924782,3,0,0
Greene,IOWA,19073,42.0182893, -94.4005864,13,0,8
Grundy,IOWA,19075,42.4132701, -92.7808666,16,0,11
Guthrie,IOWA,19077,41.6721976, -94.4985983,35,1,12
Hamilton,IOWA,19079,42.382945, -93.7083849,11,0,5
Hancock,IOWA,19081,43.0847702, -93.7363674,3,0,2
Hardin,IOWA,19083,42.3840463, -93.2293918,12,0,4
Harrison,IOWA,19085,41.6659155, -95.7976315,17,0,17
Henry,IOWA,19087,40.9778301, -91.5511282,43,1,30
Howard,IOWA,19089,43.3353641, -92.3230007,12,0,9
Humboldt,IOWA,19091,42.7756032, -94.1956133,7,0,4
