County,State,fips,Latitude,Longitude,Confirmed Cases,Deaths,Recoveries
Allen,KANSAS,20001,37.79,-95.14,0,0,0
Anderson,KANSAS,20003,38.07,-95.36,1,0,1
Atchison,KANSAS,20005,39.56,-95.13,17,0,13
Barber,KANSAS,20007,37.01,-98.64,1,0,0
Barton,KANSAS,20009,38.45,-99.01,36,1,15
Bourbon,KANSAS,20011,37.83,-94.7,7,1,5
Brown,KANSAS,20013,39.67,-95.42,5,0,1
Butler,KANSAS,20015,38.03,-96.63,26,0,16
Chase,KANSAS,20017,38.25,-96.82,3,0,3
Chautauqua,KANSAS,20019,37.1,-96.5,4,0,0
Cherokee,KANSAS,20021,37.02,-94.73,9,0,8
Cheyenne,KANSAS,20023,39.74,-101.53,2,0,0
Clark,KANSAS,20025,37.18,-99.76,31,1,0
Clay,KANSAS,20027,39.37,-97.12,5,1,0
Cloud,KANSAS,20029,39.57,-97.66,4,0,2
Coffey,KANSAS,20031,38.19,-95.74,50,8,42
Comanche,KANSAS,20033,37.25,-99.33,1,0,0
Cowley,KANSAS,20035,37.06,-97.04,4,1,0
Crawford,KANSAS,20037,37.64,-94.62,6,1,6
Decatur,KANSAS,20039,39.62,-100.42,0,0,0
Dickinson,KANSAS,20041,38.92,-97.22,4,0,0
Doniphan,KANSAS,20043,39.7,-95.17,11,0,9
Douglas,KANSAS,20045,38.77,-95.18,62,0,54
Edwards,KANSAS,20047,37.95,-99.09,5,0,0
Elk,KANSAS,20049,37.56,-95.93,0,0,0
Ellis,KANSAS,20051,38.87,-99.31,9,0,8
Ellsworth,KANSAS,20053,38.73,-98.22,2,0,0
Finney,KANSAS,20055,37.97,-100.86,1367,6,8
Ford,KANSAS,20057,37.75,-100.01,1558,8,0
Franklin,KANSAS,20059,38.44,-95.08,32,0,27
Geary,KANSAS,20061,39.02,-96.84,16,0,14
Gove,KANSAS,20063,38.95,-100.49,1,0,0
Graham,KANSAS,20065,39.35,-99.68,0,0,0
Grant,KANSAS,20067,37.57,-101.35,17,0,13
Gray,KANSAS,20069,37.8,-100.34,21,0,11
Greeley,KANSAS,20071,38.47,-101.75,0,0,0
Greenwood,KANSAS,20073,37.98,-96.16,3,0,3
Hamilton,KANSAS,20075,38.04,-102.0,12,0,0
Harper,KANSAS,20077,37.15,-98.02,1,0,0
Harvey,KANSAS,20079,38.02,-97.67,13,1,13
Haskell,KANSAS,20081,37.43,-100.98,17,0,12
Hodgeman,KANSAS,20083,38.12,-99.71,1,0,0
Jackson,KANSAS,20085,39.5,-95.85,82,0,10
Jefferson,KANSAS,20087,39.2,-95.22,21,0,16
Jewell,KANSAS,20089,39.87,-98.3,4,0,0
Johnson,KANSAS,20091,38.71,-94.71,711,60,429
Kearny,KANSAS,20093,37.98,-101.13,39,1,26
Kingman,KANSAS,20095,37.64,-98.43,0,0,0
Kiowa,KANSAS,20097,37.6,-99.29,2,0,0
Labette,KANSAS,20099,37.19,-95.29,22,0,22
Lane,KANSAS,20101,38.48,-100.46,1,0,0
Leavenworth,KANSAS,20103,39.12,-94.92,1069,7,866
Lincoln,KANSAS,20105,39.18,-98.04,0,0,0
Linn,KANSAS,20107,38.08,-95.0,7,0,6
Logan,KANSAS,20109,39.1,-101.0,0,0,0
Lyon,KANSAS,20111,38.41,-96.19,377,3,332
Marion,KANSAS,20115,38.08,-96.88,7,1,0
Marshall,KANSAS,20117,39.87,-96.25,0,0,0
McPherson,KANSAS,20113,38.2,-97.51,27,0,23
Meade,KANSAS,20119,37.38,-100.19,24,0,22
Miami,KANSAS,20121,38.42,-94.83,6,0,6
Mitchell,KANSAS,20123,39.46,-98.1,3,0,0
Montgomery,KANSAS,20125,37.23,-95.71,19,2,15
Morris,KANSAS,20127,38.57,-96.83,3,0,3
Morton,KANSAS,20129,37.0,-101.89,4,0,4
Nemaha,KANSAS,20131,39.84,-96.18,9,0,1
Neosho,KANSAS,20133,37.67,-95.48,3,0,0
Ness,KANSAS,20135,38.63,-100.04,1,0,0
Norton,KANSAS,20137,39.89,-99.7,2,0,1
Osage,KANSAS,20139,38.75,-95.83,7,0,6
Osborne,KANSAS,20141,39.5,-98.54,2,0,0
Ottawa,KANSAS,20143,39.03,-97.59,4,0,0
Pawnee,KANSAS,20145,38.19,-99.52,0,0,0
Phillips,KANSAS,20147,39.76,-99.11,2,0,1
Pottawatomie,KANSAS,20149,39.21,-96.17,24,0,17
Pratt,KANSAS,20151,37.78,-98.86,1,0,1
Rawlins,KANSAS,20153,39.81,-101.04,0,0,0
Reno,KANSAS,20155,38.06,-97.91,51,0,42
Republic,KANSAS,20157,39.7,-97.43,4,0,0
Rice,KANSAS,20159,38.51,-98.39,4,0,0
Riley,KANSAS,20161,39.36,-96.85,60,1,54
Rooks,KANSAS,20163,39.31,-99.58,7,0,6
Rush,KANSAS,20165,38.46,-99.55,0,0,0
Russell,KANSAS,20167,38.87,-98.7,0,0,0
Saline,KANSAS,20169,38.81,-97.61,28,2,24
Scott,KANSAS,20171,38.49,-101.21,13,0,7
Sedgwick,KANSAS,20173,37.79,-97.62,523,21,400
Seward,KANSAS,20175,37.2,-100.7,815,1,536
Shawnee,KANSAS,20177,38.9,-95.81,249,6,170
Sheridan,KANSAS,20179,39.35,-100.43,2,0,0
Sherman,KANSAS,20181,39.33,-101.54,6,0,6
Smith,KANSAS,20183,39.76,-98.91,2,0,0
Stafford,KANSAS,20185,38.1,-98.66,1,0,0
Stanton,KANSAS,20187,37.57,-101.75,8,0,9
Stevens,KANSAS,20189,37.17,-101.34,26,0,24
Sumner,KANSAS,20191,37.26,-97.76,6,1,3
Thomas,KANSAS,20193,39.38,-101.04,0,0,0
Trego,KANSAS,20195,39.03,-100.11,1,0,1
Wabaunsee,KANSAS,20197,39.01,-96.28,29,0,26
Wallace,KANSAS,20199,38.89,-101.75,0,0,0
Washington,KANSAS,20201,39.71,-96.87,0,0,0
Wichita,KANSAS,20203,38.48,-101.35,0,0,0
Wilson,KANSAS,20205,37.52,-95.66,1,0,1
Woodson,KANSAS,20207,38.0,-95.55,6,0,6
Wyandotte,KANSAS,20209,39.05,-94.88,1269,71,398
