County,State,fips,Latitude,Longitude,Confirmed Cases,Deaths
Fayette,KENTUCKY,21067,38.028,-84.472,206,7
Harrison,KENTUCKY,21097,38.436,-84.322,16,
Jefferson,KENTUCKY,21111,38.179,-85.665,573,49
Montgomery,KENTUCKY,21173,38.037,-83.915,8,
Bourbon,KENTUCKY,21017,38.194,-84.205,4,1
Nelson,KENTUCKY,21179,37.808,-85.474,13,
Clark,KENTUCKY,21049,37.971,-84.155,18,
Lyon,KENTUCKY,21143,36.998,-88.066,13,2
Franklin,KENTUCKY,21073,38.252,-84.863,11,
Kenton,KENTUCKY,21117,38.925,-84.533,106,10
Warren,KENTUCKY,21227,36.981,-86.423,52,
Christian,KENTUCKY,21047,36.878,-87.501,71,3
Daviess,KENTUCKY,21059,37.688,-87.082,90,3
Henderson,KENTUCKY,21101,37.767,-87.557,24,
Pulaski,KENTUCKY,21199,37.112,-84.594,31,2
Scott,KENTUCKY,21209,38.278,-84.582,27,
Unknown,KENTUCKY,None,38.029,-84.51,15,0
Calloway,KENTUCKY,21035,36.626,-88.271,15,1
Anderson,KENTUCKY,21005,38.01,-84.988,4,1
Madison,KENTUCKY,21151,37.73,-84.297,21,1
Spencer,KENTUCKY,21215,38.024,-85.32,9,
Allen,KENTUCKY,21003,36.753,-86.192,2,
Breathitt,KENTUCKY,21025,37.525,-83.294,3,
Hardin,KENTUCKY,21093,37.665,-85.963,26,
Jessamine,KENTUCKY,21113,37.865,-84.577,29,
Oldham,KENTUCKY,21185,38.498,-85.421,19,
Logan,KENTUCKY,21141,36.824,-86.883,10,
Martin,KENTUCKY,21159,37.573,-85.155,1,
McCracken,KENTUCKY,21145,37.034,-88.711,24,2
Menifee,KENTUCKY,21165,37.936,-83.601,3,
Muhlenberg,KENTUCKY,21177,37.198,-87.142,51,2
Simpson,KENTUCKY,21213,36.735,-86.578,17,1
Grayson,KENTUCKY,21085,37.454,-86.339,5,
Laurel,KENTUCKY,21125,37.1,-84.115,11,2
McCreary,KENTUCKY,21147,36.736,-84.496,9,
Wayne,KENTUCKY,21231,36.782,-84.825,5,
Boone,KENTUCKY,21015,38.959,-84.716,61,2
Hopkins,KENTUCKY,21107,37.301,-87.561,92,9
Mason,KENTUCKY,21161,38.576,-83.812,6,
Mercer,KENTUCKY,21167,37.809,-84.876,9,
Union,KENTUCKY,21225,37.637,-87.958,5,
Webster,KENTUCKY,21233,37.514,-87.665,9,
Bullitt,KENTUCKY,21029,37.975,-85.674,34,2
Campbell,KENTUCKY,21037,38.934,-84.372,50,5
Larue,KENTUCKY,21123,37.573,-85.155,4,
Woodford,KENTUCKY,21239,38.069,-84.74,16,
Boyle,KENTUCKY,21021,37.624,-84.854,13,
Bracken,KENTUCKY,21023,38.687,-84.075,5,
Breckinridge,KENTUCKY,21027,37.741,-86.411,3,
Butler,KENTUCKY,21031,37.24,-86.674,45,1
Carroll,KENTUCKY,21041,38.657,-85.1,2,
Floyd,KENTUCKY,21071,37.547,-82.765,1,
Grant,KENTUCKY,21081,38.647,-84.616,14,1
Nicholas,KENTUCKY,21181,38.329,-84.015,1,
Shelby,KENTUCKY,21211,38.222,-85.211,19,1
Washington,KENTUCKY,21229,37.731,-85.175,3,
Boyd,KENTUCKY,21019,38.361,-82.695,24,2
Lewis,KENTUCKY,21135,38.519,-83.34,2,
Taylor,KENTUCKY,21217,37.34,-85.31,4,
