County,State,fips,Latitude,Longitude,Confirmed Cases,Deaths,Recoveries
Acadia,LOUISIANA,22001,30.2740735, -92.3957036,257,12,0
Allen,LOUISIANA,22003,30.6558242, -92.8598049,118,10,0
Ascension,LOUISIANA,22005,30.2116442, -90.9186104,760,50,0
Assumption,LOUISIANA,22007,29.9185432, -91.0533996,230,11,0
Avoyelles,LOUISIANA,22009,31.0471604, -92.0019698,93,9,0
Beauregard,LOUISIANA,22011,30.6144496, -93.3416829,52,4,0
Bienville,LOUISIANA,22013,32.3231432, -93.0761115,84,20,0
Bossier,LOUISIANA,22015,32.6676663, -93.5959786,346,24,0
Caddo,LOUISIANA,22017,32.529173, -93.8931785,1898,155,0
Calcasieu,LOUISIANA,22019,30.2232015, -93.3434067,520,40,0
Caldwell,LOUISIANA,22021,32.0820785, -92.1130105,50,0,0
Cameron,LOUISIANA,22023,29.888055, -93.1843025,3,0,0
Catahoula,LOUISIANA,22025,31.7294681, -91.8487107,106,3,0
Claiborne,LOUISIANA,22027,32.8218607, -93.0097229,58,10,0
Concordia,LOUISIANA,22029,31.3941887, -91.6714379,57,5,0
DeSoto,LOUISIANA,22031,30.83283, -91.960512,224,16,0
East Baton Rouge,LOUISIANA,22033,30.5254797, -91.0899217,3056,216,0
East Carroll,LOUISIANA,22035,32.6949938, -91.2605142,37,0,0
East Feliciana,LOUISIANA,22037,30.8462165, -91.0405799,177,23,0
Evangeline,LOUISIANA,22039,30.6976776, -92.4217813,66,1,0
Franklin,LOUISIANA,22041,32.1254252, -91.6778053,273,8,0
Grant,LOUISIANA,22043,31.5748918, -92.5730029,22,1,0
Iberia,LOUISIANA,22045,29.9812242, -91.7451362,355,33,0
Iberville,LOUISIANA,22047,30.2120844, -91.3133623,527,38,0
Jackson,LOUISIANA,22049,32.2932692, -92.5628442,70,10,0
Jefferson Davis,LOUISIANA,22053,30.2575503, -92.7886576,70,6,0
Jefferson,LOUISIANA,22051,29.8502657, -90.1293894,7059,430,0
Lafayette,LOUISIANA,22055,30.2240897, -92.0198427,598,23,0
Lafourche,LOUISIANA,22057,29.5820155, -90.3964889,744,64,0
LaSalle,LOUISIANA,22059,29.9757602, -91.9476206,40,0,0
Lincoln,LOUISIANA,22061,32.598162, -92.6792848,121,13,0
Livingston,LOUISIANA,22063,30.4158699, -90.7189344,350,25,0
Madison,LOUISIANA,22065,32.3614697, -91.255051,24,0,0
Morehouse,LOUISIANA,22067,32.8326959, -91.8374127,93,5,0
Natchitoches,LOUISIANA,22069,31.7606732, -93.0860209,103,12,0
Orleans,LOUISIANA,22071,29.9499323, -90.0701156,6822,495,0
Ouachita,LOUISIANA,22073,32.4790511, -92.1615004,956,31,0
Plaquemines,LOUISIANA,22075,29.4291161, -89.5123524,194,16,0
Pointe Coupee,LOUISIANA,22077,30.6194283, -91.5740887,169,20,0
Rapides,LOUISIANA,22079,31.1719886, -92.5526386,499,14,0
Red River,LOUISIANA,22081,32.0835604, -93.3111105,43,6,0
Richland,LOUISIANA,22083,32.4196791, -91.8105911,107,1,0
Sabine,LOUISIANA,22085,31.5223049, -93.5265161,29,0,0
St. Bernard,LOUISIANA,22087,29.8217562, -89.6008692,513,19,0
St. Charles,LOUISIANA,22089,29.8883177, -90.3794968,615,42,0
St. Helena,LOUISIANA,22091,30.8080103, -90.6932182,41,1,0
St. James,LOUISIANA,22093,30.0096684, -90.7989525,284,23,0
St. John the Baptist,LOUISIANA,22095,30.1141748, -90.5276838,830,77,0
St. Landry,LOUISIANA,22097,30.6174002, -92.0035057,235,51,0
St. Martin,LOUISIANA,22099,30.1811426, -91.6081116,274,22,0
St. Mary,LOUISIANA,22101,29.692329, -91.442465,275,29,0
St. Tammany,LOUISIANA,22103,30.4243909, -89.9730381,1544,147,0
Tangipahoa,LOUISIANA,22105,30.6323024, -90.4315754,732,30,0
Tensas,LOUISIANA,22107,31.9834216, -91.3708695,5,0,0
Terrebonne,LOUISIANA,22109,29.4616211, -90.8705871,590,43,0
Union,LOUISIANA,22111,32.8385899, -92.3910295,243,14,0
Vermilion,LOUISIANA,22113,29.8411106, -92.3501175,45,3,0
Vernon,LOUISIANA,22115,31.0847886, -93.2003582,21,2,0
Washington,LOUISIANA,22117,30.8337523, -90.0721467,370,32,0
Webster,LOUISIANA,22119,32.6358137, -93.3285187,117,5,0
West Baton Rouge,LOUISIANA,22121,30.4514623, -91.3261882,148,30,0
West Carroll,LOUISIANA,22123,32.7864174, -91.4586366,18,0,0
West Feliciana,LOUISIANA,22125,30.8842729, -91.4016657,188,8,0
Winn,LOUISIANA,22127,31.947293, -92.6401816,89,2,0
