County,State,fips,Latitude,Longitude,Confirmed Cases,Deaths
Allegany,MARYLAND,24001,39.6572451, -78.6550628,151,13
Anne Arundel,MARYLAND,24003,38.9722583, -76.573454,2752,128
Baltimore (City),MARYLAND,None,39.265954, -76.6352782,3606,183
Baltimore County,MARYLAND,24005,39.4445243, -76.6483482,4399,217
Calvert,MARYLAND,24009,38.5288529, -76.537764,228,12
Caroline,MARYLAND,24011,38.8550631, -75.8247398,190,0
Carroll,MARYLAND,24013,39.5685399, -77.026707,635,64
Cecil,MARYLAND,24015,39.5729428, -75.9381806,300,17
Charles,MARYLAND,24017,38.4991611, -77.027847,829,59
Dorchester,MARYLAND,24019,38.3930694, -76.0995677,107,2
Frederick,MARYLAND,24021,39.4608481, -77.4118135,1364,81
Garrett,MARYLAND,24023,39.544087, -79.2496976,6,0
Harford,MARYLAND,24025,39.548545, -76.3048991,671,28
Howard,MARYLAND,24027,39.2305289, -76.9166241,1313,38
Kent,MARYLAND,24029,39.2587546, -76.1038454,131,14
Montgomery,MARYLAND,24031,39.1406267, -77.2075612,7759,411
Prince George's,MARYLAND,24033,38.803929, -76.8518695,10791,393
Queen Anne's,MARYLAND,24035,39.0273331, -76.0616856,108,9
St. Mary's,MARYLAND,24037,38.206621, -76.5389973,299,9
Somerset,MARYLAND,24039,38.0630795, -75.8745873,54,0
Talbot,MARYLAND,24041,38.7542065, -76.1919824,65,1
Washington,MARYLAND,24043,39.5893502, -77.710254,320,9
Wicomico,MARYLAND,24045,38.3888688, -75.635738,777,19
Worcester,MARYLAND,24047,38.2231182, -75.3319465,131,4
Unknown,MARYLAND,24,39.5162234,-76.9382069,0,81
Colorado,WASHINGTON DC,11001,38.8949855,-77.0365708,20475,1062
