County,State,fips,Latitude,Longitude,Confirmed Cases,Deaths,Recoveries,,Hospitalizations
Androscoggin,MAINE,23001,44.1402839,-70.196395,376,3,244,,32
Aroostook,MAINE,23003,46.6847962,-68.4701132,10,1,7,,4
Cumberland,MAINE,23005,43.8506432,-70.4001498,1311,56,919,,144
Franklin,MAINE,23007,44.916814,-70.4395797,36,1,32,,2
Hancock,MAINE,23009,44.7135397,-68.2994753,12,1,10,,1
Kennebec,MAINE,23011,44.4184616,-69.8250659,131,9,110,,24
Knox,MAINE,23013,44.1773049,-69.2127109,21,1,18,,2
Lincoln,MAINE,23015,44.1137571,-69.5351337,20,,17,,2
Oxford,MAINE,23017,44.4694529,-70.7782375,31,,24,,1
Penobscot,MAINE,23019,45.2930166,-68.5957766,101,2,94,,18
Piscataquis,MAINE,23021,45.8358193,-69.2923096,1,,1,,
Sagadahoc,MAINE,23023,43.9900158,-69.8654643,30,,28,,5
Somerset,MAINE,23025,45.4538403,-70.0997288,24,,22,,
Waldo,MAINE,23027,44.4870161,-69.1365185,53,14,36,,4
Washington,MAINE,23029,44.9744397,-67.6287553,1,,1,,
York,MAINE,23031,43.4229305,-70.6546639,428,11,328,,62
Unknown,MAINE,23,45.709097,-68.8590201,2,,,,
