County,State,fips,Latitude,Longitude,Confirmed Cases,Deaths
Aitkin,MINNESOTA,27001,46.571,-93.385,13,0
Anoka,MINNESOTA,27003,45.271,-93.283,1674,88
Becker,MINNESOTA,27005,46.93,-95.676,45,0
Beltrami,MINNESOTA,27007,47.998,-94.88,21,0
Benton,MINNESOTA,27009,45.716,-94.048,190,3
Big Stone,MINNESOTA,27011,45.385,-96.356,13,0
Blue Earth,MINNESOTA,27013,44.011,-94.056,157,1
Brown,MINNESOTA,27015,44.235,-94.696,18,2
Carlton,MINNESOTA,27017,46.58,-92.721,79,0
Carver,MINNESOTA,27019,44.807,-93.787,266,2
Cass,MINNESOTA,27021,47.023,-94.345,11,2
Chippewa,MINNESOTA,27023,45.028,-95.531,54,1
Chisago,MINNESOTA,27025,45.476,-92.885,74,1
Clay,MINNESOTA,27027,46.899,-96.509,499,31
Clearwater,MINNESOTA,27029,47.564,-95.375,3,0
Cook,MINNESOTA,27031,47.915,-90.473,0,0
Cottonwood,MINNESOTA,27033,44.019,-95.166,96,0
Crow Wing,MINNESOTA,27035,46.355,-94.204,88,9
Dakota,MINNESOTA,27037,44.667,-93.045,1623,72
Dodge,MINNESOTA,27039,44.018,-92.868,57,0
Douglas,MINNESOTA,27041,45.934,-95.463,48,0
Faribault,MINNESOTA,27043,43.665,-93.951,25,0
Fillmore,MINNESOTA,27045,43.647,-92.064,20,1
Freeborn,MINNESOTA,27047,43.676,-93.35,200,0
Goodhue,MINNESOTA,27049,44.397,-92.718,86,7
Grant,MINNESOTA,27051,45.936,-96.027,6,0
Hennepin,MINNESOTA,27053,45.026,-93.487,9815,700
Houston,MINNESOTA,27055,43.662,-91.469,5,0
Hubbard,MINNESOTA,27057,47.114,-94.943,5,0
Isanti,MINNESOTA,27059,45.569,-93.327,48,0
Itasca,MINNESOTA,27061,47.497,-93.623,58,12
Jackson,MINNESOTA,27063,43.67,-95.15,43,0
Kanabec,MINNESOTA,27065,45.898,-93.29,13,1
Kandiyohi,MINNESOTA,27067,45.142,-95.003,540,1
Kittson,MINNESOTA,27069,48.771,-96.807,1,0
Koochiching,MINNESOTA,27071,48.222,-93.768,9,0
Lac qui Parle,MINNESOTA,27073,44.986,-96.202,3,0
Lake,MINNESOTA,27075,47.635,-91.439,1,0
Lake of the Woods,MINNESOTA,27077,48.703,-94.848,0,0
Le Sueur,MINNESOTA,27079,44.377,-93.711,50,1
Lincoln,MINNESOTA,27081,44.402,-96.263,6,0
Lyon,MINNESOTA,27083,44.388,-95.829,174,2
McLeod,MINNESOTA,27085,44.817,-94.25,52,0
Mahnomen,MINNESOTA,27087,47.331,-95.814,6,1
Marshall,MINNESOTA,27089,48.361,-96.382,12,0
Martin,MINNESOTA,27091,43.656,-94.55,143,5
Meeker,MINNESOTA,27093,45.118,-94.518,50,1
Mille Lacs,MINNESOTA,27095,45.931,-93.64,26,1
Morrison,MINNESOTA,27097,45.993,-94.255,53,1
Mower,MINNESOTA,27099,43.683,-92.754,604,2
Murray,MINNESOTA,27101,44.018,-95.762,42,0
Nicollet,MINNESOTA,27103,44.338,-94.236,93,11
Nobles,MINNESOTA,27105,43.663,-95.753,1602,6
Norman,MINNESOTA,27107,47.319,-96.463,17,0
Olmsted,MINNESOTA,27109,44,-92.377,752,12
Otter Tail,MINNESOTA,27111,46.418,-95.713,80,1
Pennington,MINNESOTA,27113,48.051,-96.083,37,0
Pine,MINNESOTA,27115,46.082,-92.754,95,0
Pipestone,MINNESOTA,27117,44.027,-96.257,15,0
Polk,MINNESOTA,27119,47.655,-96.419,67,2
Pope,MINNESOTA,27121,45.585,-95.447,10,0
Ramsey,MINNESOTA,27123,45.017,-93.095,3740,169
Red Lake,MINNESOTA,27125,47.861,-96.099,4,0
Redwood,MINNESOTA,27127,44.379,-95.253,8,0
Renville,MINNESOTA,27129,44.724,-94.908,8,0
Rice,MINNESOTA,27131,44.341,-93.287,604,3
Rock,MINNESOTA,27133,43.673,-96.257,23,0
Roseau,MINNESOTA,27135,48.771,-95.77,6,0
St. Louis,MINNESOTA,27137,47.62,-92.436,123,14
Scott,MINNESOTA,27139,44.651,-93.503,517,4
Sherburne,MINNESOTA,27141,45.443,-93.746,261,2
Sibley,MINNESOTA,27143,44.56,-94.209,25,1
Stearns,MINNESOTA,27145,45.535,-94.614,2088,17
Steele,MINNESOTA,27147,44.014,-93.22,173,0
Stevens,MINNESOTA,27149,45.584,-95.995,1,0
Swift,MINNESOTA,27151,45.28,-95.69,19,1
Todd,MINNESOTA,27153,46.059,-94.887,368,2
Traverse,MINNESOTA,27155,45.784,-96.422,5,0
Wabasha,MINNESOTA,27157,44.277,-92.202,20,0
Wadena,MINNESOTA,27159,46.585,-94.961,10,0
Waseca,MINNESOTA,27161,44.017,-93.589,32,0
Washington,MINNESOTA,27163,45.008,-92.874,748,36
Watonwan,MINNESOTA,27165,43.974,-94.637,86,0
Wilkin,MINNESOTA,27167,46.326,-96.459,12,3
Winona,MINNESOTA,27169,43.958,-91.781,84,15
Wright,MINNESOTA,27171,45.149,-93.964,367,2
Yellow Medicine,MINNESOTA,27173,44.72,-95.853,8,0
