County,State,fips,Latitude,Longitude,Confirmed Cases,Deaths
Adair,MISSOURI,29001,40.19,-92.57,60,0
Andrew,MISSOURI,29003,39.88,-94.89,30,0
Atchison,MISSOURI,29005,40.33,-95.39,3,0
Audrain,MISSOURI,29007,39.27,-91.57,90,1
Barry,MISSOURI,29009,36.76,-94.05,9,0
Barton,MISSOURI,29011,37.39,-94.09,0,0
Bates,MISSOURI,29013,38.39,-94.35,10,1
Benton,MISSOURI,29015,38.45,-93.2,11,0
Bollinger,MISSOURI,29017,37.41,-90.06,6,0
Boone,MISSOURI,29019,38.77,-92.25,154,1
Buchanan,MISSOURI,29021,39.65,-94.74,719,2
Butler,MISSOURI,29023,36.76,-90.4,35,0
Caldwell,MISSOURI,29025,39.59,-93.79,6,0
Callaway,MISSOURI,29027,38.91,-91.7,30,1
Camden,MISSOURI,29029,38.0,-92.74,37,1
Cape Girardeau,MISSOURI,29031,37.3,-89.55,76,2
Carroll,MISSOURI,29033,39.45,-93.52,8,0
Carter,MISSOURI,29035,36.93,-90.74,5,1
Cass,MISSOURI,29037,38.81,-94.53,96,7
Cedar,MISSOURI,29039,37.86,-94.01,9,0
Chariton,MISSOURI,29041,39.59,-93.13,6,0
Christian,MISSOURI,29043,37.06,-93.55,24,0
Clark,MISSOURI,29045,40.35,-91.45,1,0
Clay,MISSOURI,29047,39.35,-94.23,173,3
Clinton,MISSOURI,29049,39.74,-94.23,18,0
Cole,MISSOURI,29051,38.61,-92.4,60,1
Cooper,MISSOURI,29053,38.81,-92.58,9,0
Crawford,MISSOURI,29055,38.21,-91.16,8,0
Dade,MISSOURI,29057,37.54,-93.87,0,0
Dallas,MISSOURI,29059,37.61,-92.9,3,0
Daviess,MISSOURI,29061,39.88,-94.08,4,0
DeKalb,MISSOURI,29063,39.85,-94.43,6,0
Dent,MISSOURI,29065,37.64,-91.18,1,0
Douglas,MISSOURI,29067,36.95,-92.66,2,0
Dunklin,MISSOURI,29069,36.05,-90.24,45,2
Franklin,MISSOURI,29071,38.41,-91.19,142,17
Gasconade,MISSOURI,29073,38.38,-91.4,2,0
Gentry,MISSOURI,29075,40.24,-94.33,41,2
