County,State,fips,Latitude,Longitude,Confirmed Cases,Deaths
Adair,MISSOURI,29001,40.1769782, -92.6161167,12,
Andrew,MISSOURI,29003,39.9845508, -94.8090258,8,
Atchison,MISSOURI,29005,40.4144817, -95.4359392,2,
Audrain,MISSOURI,29007,39.2226625, -91.8467268,2,
Barry,MISSOURI,29009,36.7033624, -93.8229669,6,
Barton,MISSOURI,29011,37.5040024, -94.3620755,0,
Bates,MISSOURI,29013,38.2612027, -94.3503613,6,
Benton,MISSOURI,29015,38.2930723, -93.3036786,8,
Bollinger,MISSOURI,29017,37.3310468, -90.0296175,4,
Boone,MISSOURI,29019,39.0153926, -92.3307534,100,
Buchanan,MISSOURI,29021,39.6733203, -94.794829,447,
Butler,MISSOURI,29023,36.7151346, -90.4146358,27,
Caldwell,MISSOURI,29025,39.6558966, -93.9997281,3,
Callaway,MISSOURI,29027,38.8491265, -91.9257607,23,
Camden,MISSOURI,29029,38.0323133, -92.7638327,36,
Cape Girardeau,MISSOURI,29031,37.3998985, -89.6918025,51,
Carroll,MISSOURI,29033,39.441912, -93.516971,3,
Carter,MISSOURI,29035,36.9303011, -90.9598933,3,
Cass,MISSOURI,29037,38.6585427, -94.3721539,67,
Cedar,MISSOURI,29039,37.7084225, -93.861222,9,
Chariton,MISSOURI,29041,39.5372927, -92.9524728,5,
Christian,MISSOURI,29043,36.9586087, -93.1692896,20,
Clark,MISSOURI,29045,40.3962004, -91.7362195,1,
Clay,MISSOURI,29047,39.3187409, -94.4046405,92,
Clinton,MISSOURI,29049,39.5975986, -94.4184896,14,
Cole,MISSOURI,29051,38.5189519, -92.2956433,55,
Cooper,MISSOURI,29053,38.8452595, -92.8249579,9,
Crawford,MISSOURI,29055,37.9920098, -91.3156445,8,
Dade,MISSOURI,29057,37.4323036, -93.8406302,0,
Dallas,MISSOURI,29059,37.6832712, -93.0219376,2,
Daviess,MISSOURI,29061,39.9587505, -93.9962662,3,
Dekalb,MISSOURI,29063,39.885757, -94.4078109,3,
Dent,MISSOURI,29065,37.6211924, -91.5167381,0,
Douglas,MISSOURI,29067,36.9433177, -92.5246813,0,
Dunklin,MISSOURI,29069,36.2156534, -90.0591292,24,
Franklin,MISSOURI,29071,38.4021095, -91.0841241,130,
Gasconade,MISSOURI,29073,38.4575789, -91.5177499,2,
Gentry,MISSOURI,29075,40.2044898, -94.4159527,1,
Greene,MISSOURI,29077,37.2671929, -93.3465486,93,
Grundy,MISSOURI,29079,40.1075648, -93.5737817,0,
Harrison,MISSOURI,29081,40.337172, -93.9845199,6,
Henry,MISSOURI,29083,38.3791027, -93.8066565,9,
Hickory,MISSOURI,29085,37.959055, -93.3334746,0,
Holt,MISSOURI,29087,40.0989571, -95.2134565,1,
Howard,MISSOURI,29089,39.1321077, -92.7181732,3,
Howell,MISSOURI,29091,36.766989, -91.9151975,5,
Iron,MISSOURI,29093,37.575509, -90.6953467,2,
Jackson,MISSOURI,29095,39.0355157, -94.3582759,401,
Jasper,MISSOURI,29097,37.176515, -94.3103412,18,
Jefferson,MISSOURI,29099,38.267166, -90.5721889,293,
Johnson,MISSOURI,29101,38.7295547, -93.8161034,63,
Joplin,MISSOURI,None,37.08418, -94.51323,10,
Kansas City,MISSOURI,None,39.100105, -94.5781416,783,
Knox,MISSOURI,29103,40.122723, -92.1573551,0,
Laclede,MISSOURI,29105,37.6475206, -92.6324187,2,
Lafayette,MISSOURI,29107,39.0603689, -93.8151868,62,
Lawrence,MISSOURI,29109,37.1036975, -93.8535681,7,
Lewis,MISSOURI,29111,40.0902418, -91.7013355,6,
Lincoln,MISSOURI,29113,39.0605477, -90.959359,77,
Linn,MISSOURI,29115,39.8652349, -93.1104004,5,
Livingston,MISSOURI,29117,39.7639036, -93.5573919,3,
Macon,MISSOURI,29121,39.8416253, -92.5675118,2,
Madison,MISSOURI,29123,37.4914691, -90.3567669,3,
Maries,MISSOURI,29125,38.1683782, -91.928925,2,
