County,State,fips,Latitude,Longitude,Confirmed Cases,Deaths
Beaverhead,MONTANA,30001,45.1708403, -112.9537553,1,
Big Horn,MONTANA,30003,45.4608548, -107.5152896,8,
Broadwater,MONTANA,30007,46.3252827, -111.4969303,4,
Carbon,MONTANA,30009,45.2050058, -109.1434792,6,
Cascade,MONTANA,30013,47.3271465, -111.3281242,17,2
Deer Lodge,MONTANA,30023,46.0753795, -113.089332,3,
Flathead,MONTANA,30029,48.3840879, -113.972144,37,2
Gallatin,MONTANA,30031,45.4868491, -111.1967693,149,1
Glacier,MONTANA,30035,48.6966449, -112.9467116,6,
Golden Valley,MONTANA,30037,46.3040364, -109.1714312,3,
Hill,MONTANA,30041,48.6655784, -110.2107103,1,
Jefferson,MONTANA,30043,46.1850019, -112.1388102,3,
Lake,MONTANA,30047,47.7142864, -114.1204325,5,
Lewis and Clark,MONTANA,30049,47.2117026, -112.4768049,16,
Liberty,MONTANA,30051,48.5608235, -111.0465825,1,
Lincoln,MONTANA,30053,48.5891095, -115.4911526,7,1
Madison,MONTANA,30057,45.2963203, -111.8930287,8,1
Meagher,MONTANA,30059,46.6305891, -110.8988278,1,
Missoula,MONTANA,30063,46.9653891, -113.9232612,39,1
Musselshell,MONTANA,30065,46.4728903, -108.4473635,1,
Park,MONTANA,30067,45.5027347, -110.52981,8,
Pondera,MONTANA,30073,48.2443094, -112.1206742,2,
Ravalli,MONTANA,30081,46.0757223, -114.1139453,6,
Richland,MONTANA,30083,47.8314138, -104.559421,3,
Roosevelt,MONTANA,30085,48.3069516, -104.9709901,7,
Silver Bow,MONTANA,30093,45.9009106, -112.6788845,11,
Stillwater,MONTANA,30095,45.6540259, -109.3579352,1,
Toole,MONTANA,30101,48.6771309, -111.7312844,29,6
Wheatland,MONTANA,30107,46.4335302, -109.8498047,1,
Yellowstone,MONTANA,30111,45.9645464, -108.276076,86,2
