County,State,fips,Latitude,Longitude,Confirmed Cases,Deaths,Recoveries
Alamance,NORTH CAROLINA,37001,36.03,-79.48,574,31,334
Alexander,NORTH CAROLINA,37003,35.9,-81.09,42,0,28
Alleghany,NORTH CAROLINA,37005,36.55,-81,30,0,13
Anson,NORTH CAROLINA,37007,35.1,-80.09,81,1,69
Ashe,NORTH CAROLINA,37009,36.44,-81.65,41,1,30
Avery,NORTH CAROLINA,37011,36.16,-81.87,8,0,
Beaufort,NORTH CAROLINA,37013,35.3,-76.78,45,0,39
Bertie,NORTH CAROLINA,37015,36.22,-77.11,129,4,110
Bladen,NORTH CAROLINA,37017,34.53,-78.79,132,2,89
Brunswick,NORTH CAROLINA,37019,34.07,-78.47,167,3,96
Buncombe,NORTH CAROLINA,37021,35.7,-82.63,408,34,265
Burke,NORTH CAROLINA,37023,35.66,-81.48,710,18,288
Cabarrus,NORTH CAROLINA,37025,35.4,-80.59,635,25,403
Caldwell,NORTH CAROLINA,37027,35.8,-81.42,214,3,100
Camden,NORTH CAROLINA,37029,36.32,-76.16,3,0,3
Carteret,NORTH CAROLINA,37031,34.89,-76.33,46,3,35
Caswell,NORTH CAROLINA,37033,36.51,-79.28,98,1,64
Catawba,NORTH CAROLINA,37035,35.73,-81.31,338,13,143
Chatham,NORTH CAROLINA,37037,35.6,-79.36,749,37,487
Cherokee,NORTH CAROLINA,37039,35.19,-83.82,31,1,26
Chowan,NORTH CAROLINA,37041,36.05,-76.59,17,0,16
Clay,NORTH CAROLINA,37043,35.04,-83.81,10,0,8
Cleveland,NORTH CAROLINA,37045,35.24,-81.66,134,2,94
Columbus,NORTH CAROLINA,37047,34.31,-78.4,354,27,161
Craven,NORTH CAROLINA,37049,35.12,-77.02,241,5,177
Cumberland,NORTH CAROLINA,37051,35.05,-78.87,811,30,527
Currituck,NORTH CAROLINA,37053,36.32,-75.9,15,0,14
Dare,NORTH CAROLINA,37055,35.34,-75.5,22,1,17
Davidson,NORTH CAROLINA,37057,35.63,-80.11,542,12,420
Davie,NORTH CAROLINA,37059,35.93,-80.4,12,2,60
Duplin,NORTH CAROLINA,37061,35.15,-78.09,938,24,465
Durham,NORTH CAROLINA,37063,36.17,-78.88,2308,53,1633
Edgecombe,NORTH CAROLINA,37065,35.95,-77.81,234,9,201
Forsyth,NORTH CAROLINA,37067,36.25,-80.06,1898,25,1044
Franklin,NORTH CAROLINA,37069,35.95,-78.25,197,21,128
