County,State,fips,Latitude,Longitude,Confirmed Cases,Deaths
Alamance County,NORTH CAROLINA,37001,36.0472941, -79.4004612,195,9
Alexander County,NORTH CAROLINA,37003,35.924738, -81.1716315,15,0
Alleghany County,NORTH CAROLINA,37005,36.5029951, -81.1340843,10,0
Anson County,NORTH CAROLINA,37007,34.9705848, -80.0958187,43,0
Ashe County,NORTH CAROLINA,37009,36.4393554, -81.5076569,17,0
Beaufort County,NORTH CAROLINA,37013,35.469331, -76.8927522,26,0
Bertie County,NORTH CAROLINA,37015,36.0608505, -76.9747965,76,3
Bladen County,NORTH CAROLINA,37017,34.627971, -78.5627714,68,2
Brunswick County,NORTH CAROLINA,37019,34.0718195, -78.1914215,51,2
Buncombe County,NORTH CAROLINA,37021,35.6292222, -82.5255603,138,4
Burke County,NORTH CAROLINA,37023,35.7270403, -81.6632108,174,14
Cabarrus County,NORTH CAROLINA,37025,35.4045503, -80.564371,370,19
Caldwell County,NORTH CAROLINA,37027,35.9417876, -81.5262567,74,1
Camden County,NORTH CAROLINA,37029,36.3106247, -76.1150606,2,0
Carteret County,NORTH CAROLINA,37031,34.8496625, -76.5931208,35,3
Caswell County,NORTH CAROLINA,37033,36.4035101, -79.3357315,43,1
Catawba County,NORTH CAROLINA,37035,35.6740563, -81.2107215,92,2
Chatham County,NORTH CAROLINA,37037,35.7151316, -79.2533035,495,24
Cherokee County,NORTH CAROLINA,37039,35.1184149, -84.0886181,17,1
Chowan County,NORTH CAROLINA,37041,36.0768949, -76.629641,12,0
Clay County,NORTH CAROLINA,37043,35.0572652, -83.7324509,5,0
Cleveland County,NORTH CAROLINA,37045,35.330702, -81.5507523,54,2
Columbus County,NORTH CAROLINA,37047,34.2814497, -78.666593,226,17
Craven County,NORTH CAROLINA,37049,35.0808574, -77.0439978,81,4
Cumberland County,NORTH CAROLINA,37051,35.0461723, -78.8394255,435,11
Currituck County,NORTH CAROLINA,37053,36.3918723, -75.9118432,11,0
Dare County,NORTH CAROLINA,37055,35.6333866, -75.6869011,18,1
Davidson County,NORTH CAROLINA,37057,35.7902384, -80.2115053,255,10
Davie County,NORTH CAROLINA,37059,35.9375154, -80.5464948,43,2
Duplin County,NORTH CAROLINA,37061,34.9464988, -77.9320171,338,7
Durham County,NORTH CAROLINA,37063,36.0181316, -78.8751582,938,36
Edgecombe County,NORTH CAROLINA,37065,35.9213841, -77.5971695,164,7
Forsyth County,NORTH CAROLINA,37067,36.1476399, -80.2415712,568,5
Franklin County,NORTH CAROLINA,37069,36.1028596, -78.2787229,121,20
Gaston County,NORTH CAROLINA,37071,35.2849659, -81.179014,195,6
Gates County,NORTH CAROLINA,37073,36.4412509, -76.6944133,13,0
Graham County,NORTH CAROLINA,37075,35.359542, -83.8337785,2,0
Granville County,NORTH CAROLINA,37077,36.3210127, -78.6593963,181,6
Greene County,NORTH CAROLINA,37079,35.481724, -77.6728536,40,1
Guilford County,NORTH CAROLINA,37081,36.0875688, -79.7888515,725,46
Halifax County,NORTH CAROLINA,37083,36.2494056, -77.66834,101,1
Harnett County,NORTH CAROLINA,37085,35.388093, -78.8624963,237,17
Haywood County,NORTH CAROLINA,37087,35.5456202, -82.9907823,21,0
Henderson County,NORTH CAROLINA,37089,35.3389062, -82.4663918,273,36
Hertford County,NORTH CAROLINA,37091,36.3560545, -77.0115135,50,1
Hoke County,NORTH CAROLINA,37093,35.0271856, -79.2432785,140,0
Hyde County,NORTH CAROLINA,37095,35.3935017, -76.1253302,1,0
Iredell County,NORTH CAROLINA,37097,35.8101636, -80.8805593,170,5
Jackson County,NORTH CAROLINA,37099,35.2962391, -83.1388055,22,1
Johnston County,NORTH CAROLINA,37101,35.5285816, -78.3768021,233,17
Jones County,NORTH CAROLINA,37103,35.0306301, -77.3231405,21,2
Lee County,NORTH CAROLINA,37105,35.4691746, -79.1547643,301,3
Lenoir County,NORTH CAROLINA,37107,35.2590371, -77.6484879,139,5
Lincoln County,NORTH CAROLINA,37109,35.4866424, -81.2062724,44,0
Macon County,NORTH CAROLINA,37113,35.1436639, -83.3977297,3,1
Madison County,NORTH CAROLINA,37115,35.8482034, -82.6931063,1,0
Martin County,NORTH CAROLINA,37117,35.8134443, -77.0948861,34,4
McDowell County,NORTH CAROLINA,37111,35.6608869, -82.0482171,29,1
Mecklenburg County,NORTH CAROLINA,37119,35.2356385, -80.8139485,2385,62
Mitchell County,NORTH CAROLINA,37121,36.0001181, -82.1349028,5,0
Montgomery County,NORTH CAROLINA,37123,35.3299572, -79.8979019,48,3
Moore County,NORTH CAROLINA,37125,35.3054614, -79.4761236,113,10
Nash County,NORTH CAROLINA,37127,35.992983, -77.9755309,146,3
New Hanover County,NORTH CAROLINA,37129,34.2751052, -77.8818627,118,3
Northampton County,NORTH CAROLINA,37131,36.4168078, -77.3642227,129,9
Onslow County,NORTH CAROLINA,37133,34.7952348, -77.4215828,67,2
Orange County,NORTH CAROLINA,37135,36.0605095, -79.1172679,266,34
Pamlico County,NORTH CAROLINA,37137,35.1238031, -76.7970224,8,0
Pasquotank County,NORTH CAROLINA,37139,36.2280793, -76.2149621,83,5
Pender County,NORTH CAROLINA,37141,34.5294394, -77.8959525,42,1
Perquimans County,NORTH CAROLINA,37143,36.1739896, -76.4254832,21,2
Person County,NORTH CAROLINA,37145,36.3967816, -78.9882995,32,1
Pitt County,NORTH CAROLINA,37147,35.611481, -77.3707461,196,2
Polk County,NORTH CAROLINA,37149,35.2779217, -82.176176,31,3
Randolph County,NORTH CAROLINA,37151,35.7142874, -79.7975166,422,6
Richmond County,NORTH CAROLINA,37153,35.0288383, -79.7333261,104,2
Robeson County,NORTH CAROLINA,37155,34.6485079, -79.0954942,491,6
Rockingham County,NORTH CAROLINA,37157,36.3926798, -79.744144,44,2
Rowan County,NORTH CAROLINA,37159,35.6315952, -80.5171754,517,25
Rutherford County,NORTH CAROLINA,37161,35.3994626, -81.9023191,151,5
Sampson County,NORTH CAROLINA,37163,35.0078434, -78.3609662,219,1
Scotland County,NORTH CAROLINA,37165,34.8628902, -79.4903372,48,0
Stanly County,NORTH CAROLINA,37167,35.3235477, -80.2391366,31,4
Stokes County,NORTH CAROLINA,37169,36.4120995, -80.2288089,23,0
Surry County,NORTH CAROLINA,37171,36.4135582, -80.7013751,67,1
Swain County,NORTH CAROLINA,37173,35.45819, -83.466275,6,0
Transylvania County,NORTH CAROLINA,37175,35.1982216, -82.7724889,7,0
Tyrrell County,NORTH CAROLINA,37177,35.8217079, -76.2126146,4,0
Union County,NORTH CAROLINA,37179,34.9795158, -80.5128209,321,16
Vance County,NORTH CAROLINA,37181,36.3747423, -78.4140945,183,16
Wake County,NORTH CAROLINA,37183,35.7979355, -78.6118311,1143,28
Warren County,NORTH CAROLINA,37185,36.3901694, -78.1052123,26,0
Washington County,NORTH CAROLINA,37187,35.5493702, -77.0535574,26,3
Watauga County,NORTH CAROLINA,37189,36.2228105, -81.6863808,9,0
Wayne County,NORTH CAROLINA,37191,35.3546293, -78.0149444,801,15
Wilkes County,NORTH CAROLINA,37193,36.1998247, -81.1341351,287,1
Wilson County,NORTH CAROLINA,37195,35.7059114, -77.9175714,222,9
Yadkin County,NORTH CAROLINA,37197,36.1497114, -80.67623,92,1
Yancey County,NORTH CAROLINA,37199,35.8875402, -82.3035673,8,0
