County,State,fips,Latitude,Longitude,Confirmed Cases,Deaths
Adams,NEBRASKA,31001,40.5125798, -98.5148588,270,11
Antelope,NEBRASKA,31003,42.1864809, -98.0716943,8,0
Arthur,NEBRASKA,31005,41.5721288, -101.6974898,0,0
Banner,NEBRASKA,31007,41.5563598, -103.7384513,0,0
Blaine,NEBRASKA,31009,41.9195837, -99.979237,0,0
Boone,NEBRASKA,31011,41.7103804, -98.0544842,6,0
Box Butte,NEBRASKA,31013,42.2130279, -103.0700157,2,0
Boyd,NEBRASKA,31015,42.916011, -98.7614212,0,0
Brown,NEBRASKA,31017,42.4068829, -99.9120353,0,0
Buffalo,NEBRASKA,31019,40.8421618, -99.0845451,157,1
Burt,NEBRASKA,31021,41.855662, -96.3357902,9,0
Butler,NEBRASKA,31023,41.2142454, -97.1384119,48,0
Cass,NEBRASKA,31025,40.9017313, -96.1922102,50,0
Cedar,NEBRASKA,31027,42.5947161, -97.2399373,8,0
Chase,NEBRASKA,31029,40.5217576, -101.6931758,1,0
Cherry,NEBRASKA,31031,42.5560174, -101.1503042,1,0
Cheyenne,NEBRASKA,31033,41.2053619, -102.9796713,9,0
Clay,NEBRASKA,31035,40.5020772, -98.0695257,24,0
Colfax,NEBRASKA,31037,41.5738643, -97.0828487,617,4
Cuming,NEBRASKA,31039,41.9233919, -96.7921475,31,0
Custer,NEBRASKA,31041,41.4022198, -99.7272241,31,4
Dakota,NEBRASKA,31043,42.4049316, -96.5677015,1663,20
Dawes,NEBRASKA,31045,42.71723, -103.1216528,1,0
Dawson,NEBRASKA,31047,40.8776438, -99.8505693,838,7
Deuel,NEBRASKA,31049,41.1097054, -102.3261249,0,0
Dixon,NEBRASKA,31051,42.4351249, -96.8792569,27,0
Dodge,NEBRASKA,31053,41.58577, -96.6789773,465,1
Douglas,NEBRASKA,31055,41.2954112, -96.1415672,4198,34
Dundy,NEBRASKA,31057,40.1849874, -101.6959427,0,0
Fillmore,NEBRASKA,31059,40.5292758, -97.5997675,6,0
Franklin,NEBRASKA,31061,40.1715234, -98.9687585,6,0
Frontier,NEBRASKA,31063,40.5520473, -100.4230266,1,0
Furnas,NEBRASKA,31065,40.1791278, -99.8981009,9,0
Gage,NEBRASKA,31067,40.2469449, -96.7021336,45,4
Garden,NEBRASKA,31069,41.6440533, -102.3392806,0,0
Garfield,NEBRASKA,31071,41.895743, -99.0097985,0,0
Gosper,NEBRASKA,31073,40.5145053, -99.8185651,13,0
Grant,NEBRASKA,31075,41.9231444, -101.7354061,0,0
Greeley,NEBRASKA,31077,41.5595746, -98.5300914,2,0
