County,State,fips,Latitude,Longitude,Confirmed Cases,Deaths,Recoveries
Atlantic,NEW JERSEY,34001,39.514,-74.663,2049,149,0
Bergen,NEW JERSEY,34003,40.968,-74.056,17963,1529,0
Burlington,NEW JERSEY,34005,39.933,-74.723,4381,273,0
Camden,NEW JERSEY,34007,39.801,-74.969,6171,307,0
Cape May,NEW JERSEY,34009,39.177,-74.801,571,48,0
Cumberland,NEW JERSEY,34011,39.318,-75.162,2024,63,0
Essex,NEW JERSEY,34013,40.791,-74.248,17255,1605,0
Gloucester,NEW JERSEY,34015,39.727,-75.154,2103,138,0
Hudson,NEW JERSEY,34017,40.738,-74.055,18096,1143,0
Hunterdon,NEW JERSEY,34019,40.577,-74.926,967,57,0
Mercer,NEW JERSEY,34021,40.281,-74.703,6544,452,0
Middlesex,NEW JERSEY,34023,40.428,-74.396,15499,959,0
Monmouth,NEW JERSEY,34025,40.293,-74.167,7911,559,0
Morris,NEW JERSEY,34027,40.868,-74.56,6279,595,0
Ocean,NEW JERSEY,34029,39.978,-74.332,8462,692,0
Passaic,NEW JERSEY,34031,41.046,-74.318,15826,892,0
Salem,NEW JERSEY,34033,39.598,-75.349,573,29,0
Somerset,NEW JERSEY,34035,40.568,-74.619,4489,399,0
Sussex,NEW JERSEY,34037,41.133,-74.693,1089,145,0
Union,NEW JERSEY,34039,40.665,-74.305,15293,1030,0
Warren,NEW JERSEY,34041,40.86,-74.972,1136,128,0
