County,State,fips,Latitude,Longitude,Confirmed Cases,Deaths
Bernalillo,NEW MEXICO,35001,35.035,-106.687,1623,77
Catron,NEW MEXICO,35003,33.903,-108.38,2,1
Chaves,NEW MEXICO,35005,33.299,-104.513,50,2
Cibola,NEW MEXICO,35006,34.872,-107.94,172,7
Colfax,NEW MEXICO,35007,36.557,-104.612,6,0
Curry,NEW MEXICO,35009,34.522,-103.31,68,0
De Baca,NEW MEXICO,35011,34.299,-104.416,0,0
Dona Ana,NEW MEXICO,35013,32.328,-106.849,615,3
Eddy,NEW MEXICO,35015,32.4,-104.345,42,1
Grant,NEW MEXICO,35017,32.755,-108.363,15,0
Guadalupe,NEW MEXICO,35019,34.898,-104.828,20,0
Harding,NEW MEXICO,35021,35.9,-103.787,1,0
Hidalgo,NEW MEXICO,35023,31.801,-108.76,1,0
Lea,NEW MEXICO,35025,32.745,-103.383,34,0
Lincoln,NEW MEXICO,35027,33.753,-105.416,5,0
Los Alamos,NEW MEXICO,35028,35.881,-106.299,6,0
Luna,NEW MEXICO,35029,32.135,-107.768,12,1
McKinley,NEW MEXICO,35031,35.644,-108.152,2807,137
Mora,NEW MEXICO,35033,35.972,-104.913,0,0
Otero,NEW MEXICO,35035,32.506,-105.806,615,4
Quay,NEW MEXICO,35037,35.144,-103.418,4,1
Rio Arriba,NEW MEXICO,35039,36.549,-106.816,59,1
Roosevelt,NEW MEXICO,35041,33.973,-103.493,46,0
San Juan,NEW MEXICO,35045,36.476,-108.305,2034,137
San Miguel,NEW MEXICO,35047,35.47,-104.795,16,0
Sandoval,NEW MEXICO,35043,35.591,-106.847,604,27
Santa Fe,NEW MEXICO,35049,35.687,-105.938,161,3
Sierra,NEW MEXICO,35051,33.117,-107.257,3,0
Socorro,NEW MEXICO,35053,34.057,-106.893,55,5
Taos,NEW MEXICO,35055,36.407,-105.573,31,0
Torrance,NEW MEXICO,35057,34.636,-105.906,53,1
Union,NEW MEXICO,35059,36.399,-103.413,5,0
Valencia,NEW MEXICO,35061,34.733,-106.85,85,2
