County,State,fips,Latitude,Longitude,Confirmed Cases,Deaths,Recoveries
Albany,NEW YORK,36001,42.45,-74.03,1700,93,995
Allegany,NEW YORK,36003,42.47,-78.25,44,2,28
Bronx,NEW YORK,36005,40.84,-73.87,43603,3149,0
Broome,NEW YORK,36007,42.1,-75.97,451,39,326
Cattaraugus,NEW YORK,36009,42.42,-78.98,71,2,37
Cayuga,NEW YORK,36011,42.93,-76.56,72,2,51
Chautauqua,NEW YORK,36013,42.47,-79.33,58,2,37
Chemung,NEW YORK,36015,42.13,-76.93,134,2,10
Chenango,NEW YORK,36017,42.65,-75.81,118,3,86
Clinton,NEW YORK,36019,44.69,-73.45,94,4,46
Columbia,NEW YORK,36021,42.32,-73.47,355,36,165
Cortland,NEW YORK,36023,42.54,-75.89,43,1,39
Delaware,NEW YORK,36025,42.4,-74.61,73,2,53
Dutchess,NEW YORK,36027,41.84,-73.55,3745,132,1917
Erie,NEW YORK,36029,43.01,-78.48999999999998,5270,445,479
Essex,NEW YORK,36031,43.78,-73.97,36,0,8
Franklin,NEW YORK,36033,44.93,-74.59,19,0,4
Fulton,NEW YORK,36035,43.05,-74.19,186,15,0
Genesee,NEW YORK,36037,42.9,-78.26,188,4,108
Greene,NEW YORK,36039,42.26,-73.81,215,12,116
Hamilton,NEW YORK,36041,43.55,-74.43,5,1,0
Herkimer,NEW YORK,36043,43.24,-75.03,93,3,18
Jefferson,NEW YORK,36045,43.97,-75.91,71,0,9
Kings,NEW YORK,36047,40.64,-73.94,53385,4780,0
Lewis,NEW YORK,36049,43.87,-75.44,18,5,4
Livingston,NEW YORK,36051,42.91,-77.73999999999998,114,3,94
Madison,NEW YORK,36053,42.91,-76.75,294,7,249
