County,State,fips,Latitude,Longitude,Confirmed Cases,Deaths
Adams,OHIO,39001,38.8398935, -83.5051704,5,0
Allen,OHIO,39003,40.8077797, -84.0572225,133,23
Ashland,OHIO,39005,40.7887367, -82.2360391,9,0
Ashtabula,OHIO,39007,41.7167229, -80.74947,149,16
Athens,OHIO,39009,39.355589, -82.0610404,4,1
Auglaize,OHIO,39011,40.5942186, -84.2641951,35,3
Belmont,OHIO,39013,40.0057737, -81.0097516,174,7
Brown,OHIO,39015,38.9092542, -83.8836555,12,1
Butler,OHIO,39017,39.4233043, -84.5936897,334,7
Carroll,OHIO,39019,40.5250362, -81.0927234,21,1
Champaign,OHIO,39021,40.1726987, -83.7701999,14,1
Clark,OHIO,39023,39.9229676, -83.7905959,70,2
Clermont,OHIO,39025,39.0678155, -84.1566341,103,3
Clinton,OHIO,39027,39.4259873, -83.8445792,31,0
Columbiana,OHIO,39029,40.7787016, -80.7648602,287,22
Coshocton,OHIO,39031,40.2905684, -81.9271441,17,0
Crawford,OHIO,39033,40.8705909, -82.9065596,56,1
Cuyahoga,OHIO,39035,41.4301347, -81.6905558,2398,121
Darke,OHIO,39037,40.168765, -84.631372,77,14
Defiance,OHIO,39039,41.3203058, -84.5084835,20,1
Delaware,OHIO,39041,40.2317686, -82.9651045,179,4
Erie,OHIO,39043,41.3506462, -82.640448,60,3
Fairfield,OHIO,39045,39.7886111, -82.6418883,152,2
Fayette,OHIO,39047,39.5839889, -83.4401122,20,0
Franklin,OHIO,39049,40.0283162, -83.0076657,2988,84
Fulton,OHIO,39051,41.6045817, -84.1141048,26,0
Gallia,OHIO,39053,38.7952465, -82.3556216,6,1
Geauga,OHIO,39055,41.4768249, -81.1850459,169,16
Greene,OHIO,39057,39.6908207, -83.9175037,49,4
Guernsey,OHIO,39059,40.0802222, -81.4859433,19,0
Hamilton,OHIO,39061,39.2085354, -84.5501874,1434,80
Hancock,OHIO,39063,40.9939911, -83.6587588,39,1
Hardin,OHIO,39065,40.6880457, -83.6835337,26,0
Harrison,OHIO,39067,40.2694328, -81.1289112,6,0
Henry,OHIO,39069,41.2818109, -84.0581255,5,0
Highland,OHIO,39071,39.1802516, -83.6304344,11,0
Hocking,OHIO,39073,39.4644491, -82.5469722,19,1
Holmes,OHIO,39075,40.5840117, -81.9304045,6,1
Huron,OHIO,39077,41.1305303, -82.591828,32,1
Jackson,OHIO,39079,39.0131871, -82.6089043,5,0
Jefferson,OHIO,39081,40.3792938, -80.7847619,45,1
Knox,OHIO,39083,40.4467896, -82.4056302,19,1
Lake,OHIO,39085,41.7064789, -81.2380032,173,8
Lawrence,OHIO,39087,38.6065461, -82.5702511,24,0
Licking,OHIO,39089,40.1318041, -82.4627856,130,5
Logan,OHIO,39091,40.4430521, -83.7414465,19,0
Lorain,OHIO,39093,41.2633554, -82.1734746,503,37
Lucas,OHIO,39095,41.6508446, -83.621321,1429,120
Madison,OHIO,39097,39.8868227, -83.3937233,71,3
Mahoning,OHIO,39099,40.9830133, -80.7826416,961,83
Marion,OHIO,39101,40.5885271, -83.1895249,2332,4
Medina,OHIO,39103,41.1000764, -81.9382517,175,16
Meigs,OHIO,39105,39.1099292, -82.0420769,3,0
Mercer,OHIO,39107,40.4367866, -84.6109122,33,1
Miami,OHIO,39109,40.0580258, -84.2236524,144,27
Monroe,OHIO,39111,39.7157533, -81.1078783,4,0
Montgomery,OHIO,39113,39.6837328, -84.2854817,320,10
Morgan,OHIO,39115,39.5943953, -81.877978,5,0
Morrow,OHIO,39117,40.4574358, -82.7771661,75,1
Muskingum,OHIO,39119,40.0064162, -81.9984697,18,0
Noble,OHIO,39121,39.7517148, -81.4957347,5,0
Ottawa,OHIO,39123,41.5421375, -83.213342,40,1
Paulding,OHIO,39125,41.1628401, -84.5902954,8,0
Perry,OHIO,39127,39.6370289, -82.2044367,13,0
Pickaway,OHIO,39129,39.6725327, -83.0373284,1828,22
Pike,OHIO,39131,39.1056387, -83.0611404,3,0
Portage,OHIO,39133,41.1496775, -81.2082,251,42
Preble,OHIO,39135,39.8125011, -84.6411162,27,1
Putnam,OHIO,39137,41.0677672, -84.1686932,71,9
Richland,OHIO,39139,40.776322, -82.5302254,90,2
Ross,OHIO,39141,39.3455507, -83.077359,41,1
Sandusky,OHIO,39143,41.2951563, -83.1555438,36,7
Scioto,OHIO,39145,38.823448, -83.017141,12,0
Seneca,OHIO,39147,41.1343702, -83.1194199,14,1
Shelby,OHIO,39149,40.3491604, -84.1593008,30,1
Stark,OHIO,39151,40.7214654, -81.4399734,405,53
Summit,OHIO,39153,41.1457902, -81.5333603,716,58
Trumbull,OHIO,39155,41.3068487, -80.7661017,347,31
Tuscarawas,OHIO,39157,40.3759469, -81.464888,126,0
Union,OHIO,39159,40.3255937, -83.3676859,25,0
Van Wert,OHIO,39161,40.8014651, -84.600988,3,0
Vinton,OHIO,39163,39.2744355, -82.4740302,6,0
Warren,OHIO,39165,39.4203978, -84.180897,172,11
Washington,OHIO,39167,39.4782641, -81.5488945,103,14
Wayne,OHIO,39169,40.8615819, -81.9034617,161,33
Williams,OHIO,39171,41.5018224, -84.5923785,41,1
Wood,OHIO,39173,41.2776661, -83.6643025,193,24
Wyandot,OHIO,39175,40.865471, -83.2810539,24,2
