County,State,fips,Latitude,Longitude,Confirmed Cases,Deaths
Baker,OREGON,41001,44.726,-117.62,1,0
Benton,OREGON,41003,44.495,-123.407,63,5
Clackamas,OREGON,41005,45.161,-122.231,446,14
Clatsop,OREGON,41007,45.981,-123.669,46,0
Columbia,OREGON,41009,45.928,-123.082,17,0
Coos,OREGON,41011,43.218,-124.11,32,0
Crook,OREGON,41013,44.146,-120.384,8,0
Curry,OREGON,41015,42.427,-124.217,7,0
Deschutes,OREGON,41017,43.819,-121.167,135,0
Douglas,OREGON,41019,43.192,-123.114,29,0
Gilliam,OREGON,41021,45.33,-120.22,0,0
Grant,OREGON,41023,44.465,-119.057,1,0
Harney,OREGON,41025,43.055,-119.024,1,0
Hood River,OREGON,41027,45.531,-121.648,68,0
Jackson,OREGON,41029,42.398,-122.754,76,0
Jefferson,OREGON,41031,44.607,-121.246,67,0
Josephine,OREGON,41033,42.355,-123.56,23,1
Klamath,OREGON,41035,42.605,-121.74,46,0
Lake,OREGON,41037,42.77,-120.453,4,0
Lane,OREGON,41039,43.931,-122.858,85,3
Lincoln,OREGON,41041,44.62,-123.928,170,0
Linn,OREGON,41043,44.497,-122.549,124,9
Malheur,OREGON,41045,43.102,-117.692,33,1
Marion,OREGON,41047,44.896,-122.72,1105,30
Morrow,OREGON,41049,45.361,-119.605,13,0
Multnomah,OREGON,41051,45.509,-122.401,1404,66
Polk,OREGON,41053,44.88,-123.46,108,12
Sherman,OREGON,41055,45.394,-120.696,1,0
Tillamook,OREGON,41057,45.46,-123.727,6,0
Umatilla,OREGON,41059,45.642,-118.767,152,3
Union,OREGON,41061,45.268,-118.026,8,0
Wallowa,OREGON,41063,45.558,-117.199,4,0
Wasco,OREGON,41065,45.043,-121.215,35,1
Washington,OREGON,41067,45.56,-123.059,828,18
Wheeler,OREGON,41069,44.677,-120.048,0,0
Yamhill,OREGON,41071,45.23,-123.218,91,8
