County,State,fips,Latitude,Longitude,Confirmed Cases,Deaths
Adams,PENNSYLVANIA,42001,39.88,-76.98,222,6
Allegheny,PENNSYLVANIA,42003,40.54,-79.83,2003,168
Armstrong,PENNSYLVANIA,42005,40.52,-79.47,58,3
Beaver,PENNSYLVANIA,42007,40.61,-80.25,552,72
Bedford,PENNSYLVANIA,42009,40.19,-78.62,37,2
Berks,PENNSYLVANIA,42011,40.5,-75.6,3845,292
Blair,PENNSYLVANIA,42013,40.5,-78.4,46,1
Bradford,PENNSYLVANIA,42015,41.7,-76.82,44,3
Bucks,PENNSYLVANIA,42017,40.55,-75.24,4839,460
Butler,PENNSYLVANIA,42019,40.86,-79.89,216,12
Cambria,PENNSYLVANIA,42021,40.66,-78.78,56,2
Cameron,PENNSYLVANIA,42023,41.34,-78.13,2,0
Carbon,PENNSYLVANIA,42025,40.84,-75.57,227,22
Centre,PENNSYLVANIA,42027,40.79,-78.21,143,6
Chester,PENNSYLVANIA,42029,40.06,-75.4,2364,245
Clarion,PENNSYLVANIA,42031,40.98,-79.61,28,2
Clearfield,PENNSYLVANIA,42033,40.81,-78.78,34,0
Clinton,PENNSYLVANIA,42035,41.07,-77.58,49,1
Columbia,PENNSYLVANIA,42037,41.19,-76.38,342,29
Crawford,PENNSYLVANIA,42039,41.5,-80.37,21,0
Cumberland,PENNSYLVANIA,42041,40.24,-76.92,584,46
Dauphin,PENNSYLVANIA,42043,40.6,-76.8,1061,62
Delaware,PENNSYLVANIA,42045,40,-75.29,6114,513
Elk,PENNSYLVANIA,42047,41.31,-78.33,6,0
Erie,PENNSYLVANIA,42049,41.88,-80.36,210,4
Fayette,PENNSYLVANIA,42051,39.89,-79.72,94,4
Forest,PENNSYLVANIA,42053,41.32,-79.14,7,0
Franklin,PENNSYLVANIA,42055,39.93,-77.65,711,29
Fulton,PENNSYLVANIA,42057,39.93,-78.21,14,1
Greene,PENNSYLVANIA,42059,39.82,-80.45,27,0
Huntingdon,PENNSYLVANIA,42061,40.55,-78.1,227,1
Indiana,PENNSYLVANIA,42063,40.48,-79.44,89,5
Jefferson,PENNSYLVANIA,42065,41.01,-78.96,7,0
Juniata,PENNSYLVANIA,42067,40.65,-77.1,94,4
Lackawanna,PENNSYLVANIA,42069,41.5,-75.53,1476,152
Lancaster,PENNSYLVANIA,42071,40.15,-76.59,2790,279
Lawrence,PENNSYLVANIA,42073,40.99,-80.34,74,8
Lebanon,PENNSYLVANIA,42075,40.33,-76.5,900,24
Lehigh,PENNSYLVANIA,42077,40.66,-75.55,3628,202
Luzerne,PENNSYLVANIA,42079,40.95,-75.97,2631,135
Lycoming,PENNSYLVANIA,42081,41.23,-77.03,158,13
McKean,PENNSYLVANIA,42083,41.73,-78.95,11,1
Mercer,PENNSYLVANIA,42085,41.28,-80.4,103,4
Mifflin,PENNSYLVANIA,42087,40.6,-77.72,57,1
Monroe,PENNSYLVANIA,42089,40.88,-75.47,1302,99
Montgomery,PENNSYLVANIA,42091,40.4,-75.5,6464,633
Montour,PENNSYLVANIA,42093,40.96,-76.61,50,0
Northampton,PENNSYLVANIA,42095,40.84,-75.17,2866,97
Northumberland,PENNSYLVANIA,42097,40.65,-76.87,164,3
Perry,PENNSYLVANIA,42099,40.33,-77.51,45,1
Philadelphia,PENNSYLVANIA,42101,39.95,-75.16,17208,1217
Pike,PENNSYLVANIA,42103,41.09,-75,476,18
Potter,PENNSYLVANIA,42105,41.63,-78.08,4,0
Schuylkill,PENNSYLVANIA,42107,40.67,-76.2,576,26
Snyder,PENNSYLVANIA,42109,40.74,-77.22,38,1
Somerset,PENNSYLVANIA,42111,39.74,-79.33,37,0
Sullivan,PENNSYLVANIA,42113,41.4,-76.58,2,0
Susquehanna,PENNSYLVANIA,42115,41.64,-75.59,95,15
Tioga,PENNSYLVANIA,42117,41.74,-77.3,16,2
Union,PENNSYLVANIA,42119,41.09,-76.9,52,1
Venango,PENNSYLVANIA,42121,41.42,-79.7,8,0
Warren,PENNSYLVANIA,42123,41.95,-79.3,3,0
Washington,PENNSYLVANIA,42125,40.39,-80.44,135,5
Wayne,PENNSYLVANIA,42127,41.6,-75.15,117,7
Westmoreland,PENNSYLVANIA,42129,40.12,-79.86,437,38
Wyoming,PENNSYLVANIA,42131,41.56,-75.78,33,7
York,PENNSYLVANIA,42133,40.11,-77.03,904,22
