County,State,fips,Latitude,Longitude,Confirmed Cases
Adams,PENNSYLVANIA,42001,39.88,-76.98,226
Allegheny,PENNSYLVANIA,42003,40.54,-79.83,1777
Armstrong,PENNSYLVANIA,42005,40.52,-79.47,58
Beaver,PENNSYLVANIA,42007,40.61,-80.25,554
Bedford,PENNSYLVANIA,42009,40.19,-78.62,37
Berks,PENNSYLVANIA,42011,40.5,-75.59999999999998,3885
Blair,PENNSYLVANIA,42013,40.5,-78.4,46
Bradford,PENNSYLVANIA,42015,41.7,-76.81999999999998,44
Bucks,PENNSYLVANIA,42017,40.55,-75.23999999999998,4867
Butler,PENNSYLVANIA,42019,40.86,-79.89,219
Cambria,PENNSYLVANIA,42021,40.66,-78.78,57
Cameron,PENNSYLVANIA,42023,41.34,-78.13,2
Carbon,PENNSYLVANIA,42025,40.84,-75.56999999999998,229
Centre,PENNSYLVANIA,42027,40.79,-78.20999999999998,146
Chester,PENNSYLVANIA,42029,40.06,-75.4,2390
Clarion,PENNSYLVANIA,42031,40.98,-79.61,29
Clearfield,PENNSYLVANIA,42033,40.81,-78.78,34
Clinton,PENNSYLVANIA,42035,41.07,-77.58,50
Columbia,PENNSYLVANIA,42037,41.19,-76.38,344
Crawford,PENNSYLVANIA,42039,41.5,-80.37,22
Cumberland,PENNSYLVANIA,42041,40.24,-76.92,592
Dauphin,PENNSYLVANIA,42043,40.6,-76.8,1099
Delaware,PENNSYLVANIA,42045,40.0,-75.29,6179
Elk,PENNSYLVANIA,42047,41.31,-78.33,6
Erie,PENNSYLVANIA,42049,41.88,-80.36,209
Fayette,PENNSYLVANIA,42051,39.89,-79.72,94
Forest,PENNSYLVANIA,42053,41.32,-79.14,7
Franklin,PENNSYLVANIA,42055,39.93,-77.65,734
Fulton,PENNSYLVANIA,42057,39.93,-78.20999999999998,14
Greene,PENNSYLVANIA,42059,39.82,-80.45,27
Huntingdon,PENNSYLVANIA,42061,40.55,-78.09999999999998,228
Indiana,PENNSYLVANIA,42063,40.48,-79.44,89
Jefferson,PENNSYLVANIA,42065,41.01,-78.95999999999998,7
Juniata,PENNSYLVANIA,42067,40.65,-77.09999999999998,95
Lackawanna,PENNSYLVANIA,42069,41.5,-75.53,1491
Lancaster,PENNSYLVANIA,42071,40.15,-76.59,2854
Lawrence,PENNSYLVANIA,42073,40.99,-80.34,74
Lebanon,PENNSYLVANIA,42075,40.33,-76.5,909
Lehigh,PENNSYLVANIA,42077,40.66,-75.55,3651
Luzerne,PENNSYLVANIA,42079,40.95,-75.97,2645
Lycoming,PENNSYLVANIA,42081,41.23,-77.03,158
McKean,PENNSYLVANIA,42083,41.73,-78.95,11
Mercer,PENNSYLVANIA,42085,41.28,-80.4,104
Mifflin,PENNSYLVANIA,42087,40.6,-77.72,58
Monroe,PENNSYLVANIA,42089,40.88,-75.47,1304
Montgomery,PENNSYLVANIA,42091,40.4,-75.5,6525
Montour,PENNSYLVANIA,42093,40.96,-76.61,50
Northampton,PENNSYLVANIA,42095,40.84,-75.17,2911
Northumberland,PENNSYLVANIA,42097,40.65,-76.87,170
Perry,PENNSYLVANIA,42099,40.33,-77.51,47
Philadelphia,PENNSYLVANIA,42101,39.95,-75.16,17384
Pike,PENNSYLVANIA,42103,41.09,-75.0,477
Potter,PENNSYLVANIA,42105,41.63,-78.08,4
Schuylkill,PENNSYLVANIA,42107,40.67,-76.2,585
Snyder,PENNSYLVANIA,42109,40.74,-77.22,38
Somerset,PENNSYLVANIA,42111,39.74,-79.33,37
Sullivan,PENNSYLVANIA,42113,41.4,-76.58,2
Susquehanna,PENNSYLVANIA,42115,41.64,-75.59,96
Tioga,PENNSYLVANIA,42117,41.74,-77.3,16
Union,PENNSYLVANIA,42119,41.09,-76.9,53
Venango,PENNSYLVANIA,42121,41.42,-79.7,8
Warren,PENNSYLVANIA,42123,41.95,-79.3,3
Washington,PENNSYLVANIA,42125,40.39,-80.44,138
Wayne,PENNSYLVANIA,42127,41.6,-75.15,117
Westmoreland,PENNSYLVANIA,42129,40.12,-79.86,440
Wyoming,PENNSYLVANIA,42131,41.56,-75.78,33
York,PENNSYLVANIA,42133,40.11,-77.03,924
