County,State,fips,Latitude,Longitude,Confirmed Cases
Adjuntas,PUERTO RICO,72001,18.181,-66.752,6
Aguada,PUERTO RICO,72003,18.38,-67.189,15
Aguadilla,PUERTO RICO,72005,18.45,-67.118,16
Aguas Buenas,PUERTO RICO,72007,18.25,-66.13,31
Aibonito,PUERTO RICO,72009,18.128,-66.269,17
Anasco,PUERTO RICO,72011,18.283,-67.116,11
Arecibo,PUERTO RICO,72013,18.221,-66.413,51
Arroyo,PUERTO RICO,72015,17.964,-66.062,10
Barceloneta,PUERTO RICO,72017,18.44,-66.562,8
Barranquitas,PUERTO RICO,72019,18.186,-66.307,30
Bayamón,PUERTO RICO,72021,18.345,-66.168,174
Cabo Rojo,PUERTO RICO,72023,18.087,-67.146,25
Caguas,PUERTO RICO,72025,18.221,-66.413,84
Camuy,PUERTO RICO,72027,18.484,-66.845,8
Canóvanas,PUERTO RICO,72029,18.333,-65.887,51
Carolina,PUERTO RICO,72031,18.379,-65.958,115
Catano,PUERTO RICO,72033,18.442,-66.14,14
Cayey,PUERTO RICO,72035,18.113,-66.166,37
Ceiba,PUERTO RICO,72037,18.265,-65.648,9
Ciales,PUERTO RICO,72039,18.264,-66.508,14
Cidra,PUERTO RICO,72041,18.182,-66.157,36
Coamo,PUERTO RICO,72043,18.081,-66.357,11
Comerio,PUERTO RICO,72045,18.218,-66.226,15
Corozal,PUERTO RICO,72047,18.341,-66.317,23
Culebra,PUERTO RICO,72049,18.314,-65.283,0
Dorado,PUERTO RICO,72051,18.459,-66.268,43
Fajardo,PUERTO RICO,72053,18.328,-65.656,16
Florida,PUERTO RICO,72054,18.376,-66.56,8
Guanica,PUERTO RICO,72055,17.98,-66.916,17
Guayama,PUERTO RICO,72057,17.985,-66.114,24
Guayanilla,PUERTO RICO,72059,18.044,-66.796,15
Guaynabo,PUERTO RICO,72061,18.359,-66.116,157
Gurabo,PUERTO RICO,72063,18.256,-65.972,37
Hatillo,PUERTO RICO,72065,18.48,-66.823,11
Hormigueros,PUERTO RICO,72067,18.132,-67.114,12
Humacao,PUERTO RICO,72069,18.138,-65.82,30
Isabela,PUERTO RICO,72071,18.446,-67.005,19
Jayuya,PUERTO RICO,72073,18.225,-66.59,2
Juana Diaz,PUERTO RICO,72075,18.053,-66.506,35
Juncos,PUERTO RICO,72077,18.207,-65.914,14
Lajas,PUERTO RICO,72079,18.053,-67.056,12
Lares,PUERTO RICO,72081,18.295,-66.878,17
Las Marias,PUERTO RICO,72083,18.252,-66.992,7
Las Piedras,PUERTO RICO,72085,18.183,-65.869,21
Loiza,PUERTO RICO,72087,18.419,-65.881,7
Luquillo,PUERTO RICO,72089,18.339,-65.717,12
Manati,PUERTO RICO,72091,18.418,-66.492,21
Maricao,PUERTO RICO,72093,18.181,-66.98,1
Maunabo,PUERTO RICO,72095,18.007,-65.9,11
Mayaguez,PUERTO RICO,72097,18.201,-67.139,64
Moca,PUERTO RICO,72099,18.395,-67.114,17
Morovis,PUERTO RICO,72101,18.317,-66.412,21
Naguabo,PUERTO RICO,72103,18.212,-65.735,17
Naranjito,PUERTO RICO,72105,18.287,-66.248,21
Orocovis,PUERTO RICO,72107,18.221,-66.413,36
Patillas,PUERTO RICO,72109,18.039,-66.018,25
Penuelas,PUERTO RICO,72111,18.056,-66.721,6
Ponce,PUERTO RICO,72113,18.221,-66.413,76
Quebradillas,PUERTO RICO,72115,18.474,-66.938,27
Rincón,PUERTO RICO,72117,18.249,-65.992,5
Rio Grande,PUERTO RICO,72119,18.128,-66.937,28
Sabana Grande,PUERTO RICO,72121,18.087,-66.95,22
Salinas,PUERTO RICO,72123,17.977,-66.298,54
San German,PUERTO RICO,72125,18.113,-67.03,30
San Juan,PUERTO RICO,72127,18.465,-66.117,412
San Lorenzo,PUERTO RICO,72129,18.152,-65.976,27
San Sebastian,PUERTO RICO,72131,18.323,-66.973,35
Santa Isabel,PUERTO RICO,72133,17.99,-66.393,12
Toa Alta,PUERTO RICO,72135,18.389,-66.248,71
Toa Baja,PUERTO RICO,72137,18.433,-66.213,73
Trujillo Alto,PUERTO RICO,72139,18.337,-66.002,49
Utuado,PUERTO RICO,72141,18.265,-66.7,3
Vega Alta,PUERTO RICO,72143,18.412,-66.331,35
Vega Baja,PUERTO RICO,72145,18.418,-66.399,33
Vieques,PUERTO RICO,72147,18.122,-65.457,13
Villalba,PUERTO RICO,72149,18.13,-66.475,18
Yabucoa,PUERTO RICO,72151,18.05,-65.879,9
Yauco,PUERTO RICO,72153,18.035,-66.849,34
