County,State,fips,Latitude,Longitude,Confirmed Cases,Deaths
Abbeville,SOUTH CAROLINA,45001,34.17,-82.37,35,0
Aiken,SOUTH CAROLINA,45003,33.84,-81.61,184,7
Allendale,SOUTH CAROLINA,45005,33.0,-81.3,33,3
Anderson,SOUTH CAROLINA,45007,34.51,-82.64,222,8
Bamberg,SOUTH CAROLINA,45009,33.29,-81.03,21,0
Barnwell,SOUTH CAROLINA,45011,33.24,-81.36,43,1
Beaufort,SOUTH CAROLINA,45013,32.42,-80.68,346,14
Berkeley,SOUTH CAROLINA,45015,32.91,-80.01,219,15
Calhoun,SOUTH CAROLINA,45017,33.55,-80.70999999999998,10,1
Charleston,SOUTH CAROLINA,45019,32.78,-79.98999999999998,576,12
Cherokee,SOUTH CAROLINA,45021,35.07,-81.65,32,2
Chester,SOUTH CAROLINA,45023,34.55,-81.15,59,0
Chesterfield,SOUTH CAROLINA,45025,34.46,-80.25,149,3
Clarendon,SOUTH CAROLINA,45027,33.76,-80.15,295,38
Colleton,SOUTH CAROLINA,45029,33.06,-80.95,76,11
Darlington,SOUTH CAROLINA,45031,34.16,-80.06,260,8
Dillon,SOUTH CAROLINA,45033,34.42,-79.36,155,3
Dorchester,SOUTH CAROLINA,45035,32.92,-80.09,151,3
Edgefield,SOUTH CAROLINA,45037,33.78,-81.93,49,2
Fairfield,SOUTH CAROLINA,45039,34.49,-81.34999999999998,163,13
Florence,SOUTH CAROLINA,45041,33.93,-79.93,612,34
Georgetown,SOUTH CAROLINA,45043,33.36,-79.29,71,3
Greenville,SOUTH CAROLINA,45045,35.17,-82.18,1364,55
Greenwood,SOUTH CAROLINA,45047,34.19,-82.15,103,1
Hampton,SOUTH CAROLINA,45049,32.92,-81.18,34,0
Horry,SOUTH CAROLINA,45051,33.99,-79.2,392,24
Jasper,SOUTH CAROLINA,45053,32.58,-80.92,39,2
Kershaw,SOUTH CAROLINA,45055,34.41,-80.34,312,14
Lancaster,SOUTH CAROLINA,45057,34.59,-80.67,124,5
Laurens,SOUTH CAROLINA,45059,34.47,-81.86,60,3
Lee,SOUTH CAROLINA,45061,34.21,-80.23999999999998,208,15
Lexington,SOUTH CAROLINA,45063,33.9,-81.54,581,33
Marion,SOUTH CAROLINA,45067,34.03,-79.34999999999998,67,5
Marlboro,SOUTH CAROLINA,45069,34.63,-79.68,132,0
McCormick,SOUTH CAROLINA,45065,33.63,-82.14,8,1
Newberry,SOUTH CAROLINA,45071,34.18,-81.87,49,1
Oconee,SOUTH CAROLINA,45073,34.51,-82.98,48,0
Orangeburg,SOUTH CAROLINA,45075,33.34,-80.68,160,3
Pickens,SOUTH CAROLINA,45077,34.72,-82.78,128,3
Richland,SOUTH CAROLINA,45079,34.14,-81.06,1405,66
Saluda,SOUTH CAROLINA,45081,33.84,-81.66,137,0
Spartanburg,SOUTH CAROLINA,45083,34.94,-81.92,529,19
Sumter,SOUTH CAROLINA,45085,34.03,-80.45,357,18
Union,SOUTH CAROLINA,45087,34.59,-81.45999999999998,35,0
Williamsburg,SOUTH CAROLINA,45089,33.57,-79.98,226,11
York,SOUTH CAROLINA,45091,35.1,-81.22,363,6
