County,State,fips,Latitude,Longitude,Confirmed Cases,Deaths,Recoveries
Aurora,SOUTH DAKOTA,46003,43.71,-98.48,2,0,1
Beadle,SOUTH DAKOTA,46005,44.37,-98.04,21,2,19
Bennett,SOUTH DAKOTA,46007,43.17,-101.72,0,0,0
Bon Homme,SOUTH DAKOTA,46009,43.14,-97.71,4,0,4
Brookings,SOUTH DAKOTA,46011,44.28,-96.68,14,0,14
Brown,SOUTH DAKOTA,46013,45.46,-98.48,127,0,49
Brule,SOUTH DAKOTA,46015,43.8,-99.32,0,0,0
Buffalo,SOUTH DAKOTA,46017,44.04,-99.41,1,0,1
Butte,SOUTH DAKOTA,46019,44.66,-103.85,0,0,0
Campbell,SOUTH DAKOTA,46021,45.83,-100.07,0,0,0
Charles Mix,SOUTH DAKOTA,46023,43.03,-98.18,5,0,4
Clark,SOUTH DAKOTA,46025,45.09,-97.64,2,0,1
Clay,SOUTH DAKOTA,46027,42.76,-96.83,9,0,6
Codington,SOUTH DAKOTA,46029,44.91,-97.16,15,0,15
Corson,SOUTH DAKOTA,46031,45.76,-101.08,1,0,1
Custer,SOUTH DAKOTA,46033,43.49,-103.31,0,0,0
Davison,SOUTH DAKOTA,46035,43.73,-98.03,7,0,5
Day,SOUTH DAKOTA,46037,45.34,-97.74,10,0,4
Deuel,SOUTH DAKOTA,46039,44.55,-96.54,1,0,1
Dewey,SOUTH DAKOTA,46041,45.0,-101.23,0,0,0
Douglas,SOUTH DAKOTA,46043,43.31,-98.34,1,0,1
Edmunds,SOUTH DAKOTA,46045,45.45,-99.65,0,0,0
Fall River,SOUTH DAKOTA,46047,43.29,-103.82,2,0,1
Faulk,SOUTH DAKOTA,46049,45.16,-98.94,1,0,1
Grant,SOUTH DAKOTA,46051,45.29,-96.46,3,0,0
Gregory,SOUTH DAKOTA,46053,43.07,-98.94,0,0,0
Haakon,SOUTH DAKOTA,46055,44.07,-101.15,0,0,0
Hamlin,SOUTH DAKOTA,46057,44.58,-97.46,2,0,2
Hand,SOUTH DAKOTA,46059,44.52,-98.98,1,0,1
Hanson,SOUTH DAKOTA,46061,43.65,-97.77,0,0,0
Harding,SOUTH DAKOTA,46063,45.77,-103.06,0,0,0
Hughes,SOUTH DAKOTA,46065,44.37,-100.32,15,0,10
Hutchinson,SOUTH DAKOTA,46067,43.35,-97.43,3,0,3
Hyde,SOUTH DAKOTA,46069,44.52,-99.43,1,0,1
Jackson,SOUTH DAKOTA,46071,43.83,-101.27,0,0,0
Jerauld,SOUTH DAKOTA,46073,44.18,-98.36,6,1,5
Jones,SOUTH DAKOTA,46075,43.92,-100.53,0,0,0
Kingsbury,SOUTH DAKOTA,46077,44.22,-97.3,0,0,0
Lake,SOUTH DAKOTA,46079,43.89,-96.92,5,0,4
Lawrence,SOUTH DAKOTA,46081,44.38,-103.72,9,0,9
Lincoln,SOUTH DAKOTA,46083,43.3,-96.58,191,0,130
Lyman,SOUTH DAKOTA,46085,43.79,-99.38,3,0,2
Marshall,SOUTH DAKOTA,46091,45.61,-97.42,1,0,1
McCook,SOUTH DAKOTA,46087,43.59,-97.29,4,1,3
McPherson,SOUTH DAKOTA,46089,45.76,-99.62,1,0,1
Meade,SOUTH DAKOTA,46093,45.02,-102.03,4,0,1
Mellette,SOUTH DAKOTA,46095,43.46,-101.2,0,0,0
Miner,SOUTH DAKOTA,46097,43.88,-97.5,1,0,1
Minnehaha,SOUTH DAKOTA,46099,43.75,-96.73,2952,29,1771
Moody,SOUTH DAKOTA,46101,43.98,-96.81,14,0,5
Oglala Lakota,SOUTH DAKOTA,46102,43.33,-102.55,1,0,1
Pennington,SOUTH DAKOTA,46103,44.07,-103.23,27,1,10
Perkins,SOUTH DAKOTA,46105,45.52,-102.46,0,0,0
Potter,SOUTH DAKOTA,46107,45.0,-99.95,0,0,0
Roberts,SOUTH DAKOTA,46109,45.85,-97.1,14,0,8
Sanborn,SOUTH DAKOTA,46111,44.0,-97.92,3,0,3
Spink,SOUTH DAKOTA,46115,44.99,-98.49,4,0,3
Stanley,SOUTH DAKOTA,46117,44.36,-100.37,8,0,7
Sully,SOUTH DAKOTA,46119,44.83,-100.07,1,0,1
Todd,SOUTH DAKOTA,46121,43.3,-100.66,10,0,4
Tripp,SOUTH DAKOTA,46123,43.26,-99.71,0,0,0
Turner,SOUTH DAKOTA,46125,43.11,-96.95,18,0,16
Union,SOUTH DAKOTA,46127,43.02,-96.62,53,0,27
Walworth,SOUTH DAKOTA,46129,45.33,-100.12,5,0,5
Yankton,SOUTH DAKOTA,46135,42.88,-97.17,30,0,24
Ziebach,SOUTH DAKOTA,46137,44.6,-101.5,1,0,0
