County,State,fips,Latitude,Longitude,Confirmed Cases,Deaths,Recoveries
Anderson,Texas,48001,31.815,-95.654,91,0,0
Andrews,Texas,48003,32.305,-102.638,27,0,0
Angelina,Texas,48005,31.255,-94.609,281,5,0
Aransas,Texas,48007,28.106,-97,5,0,0
Archer,Texas,48009,33.616,-98.688,3,0,0
Armstrong,Texas,48011,34.965,-101.357,3,0,0
Atascosa,Texas,48013,28.893,-98.527,45,2,0
Austin,Texas,48015,29.885,-96.277,31,0,0
Bailey,Texas,48017,34.069,-102.83,28,0,0
Bandera,Texas,48019,29.746,-99.246,6,0,0
Bastrop,Texas,48021,30.104,-97.312,279,4,0
Baylor,Texas,48023,33.616,-99.214,1,0,0
Bee,Texas,48025,28.418,-97.742,26,0,0
Bell,Texas,48027,31.037,-97.479,507,6,0
Bexar,Texas,48029,29.449,-98.52,3513,80,0
Blanco,Texas,48031,30.266,-98.4,12,1,0
Bosque,Texas,48035,31.9,-97.636,7,0,0
Bowie,Texas,48037,33.446,-94.418,358,7,0
Brazoria,Texas,48039,29.188,-95.446,770,11,0
Brazos,Texas,48041,30.664,-96.302,665,24,0
Brewster,Texas,48043,29.81,-103.252,1,0,0
Briscoe,Texas,48045,34.53,-101.208,1,0,0
Brooks,Texas,48047,27.031,-98.218,1,0,0
Brown,Texas,48049,31.774,-98.999,60,10,0
Burleson,Texas,48051,30.493,-96.622,39,0,0
Burnet,Texas,48053,30.788,-98.182,55,1,0
Caldwell,Texas,48055,29.837,-97.618,81,0,0
Calhoun,Texas,48057,28.47,-96.616,42,3,0
Callahan,Texas,48059,32.298,-99.373,10,1,0
Cameron,Texas,48061,26.145,-97.481,951,40,0
Camp,Texas,48063,32.972,-94.978,95,0,0
Carson,Texas,48065,35.404,-101.354,6,0,0
Cass,Texas,48067,33.075,-94.346,32,1,0
Castro,Texas,48069,34.53,-102.262,37,1,0
Chambers,Texas,48071,29.71,-94.672,86,1,0
Cherokee,Texas,48073,31.837,-95.166,54,2,0
Childress,Texas,48075,34.529,-100.208,6,0,0
Clay,Texas,48077,33.787,-98.208,5,0,0
Cochran,Texas,48079,33.604,-102.828,1,0,0
Coke,Texas,48081,31.889,-100.53,1,0,0
Coleman,Texas,48083,31.767,-99.452,3,0,0
Collin,Texas,48085,33.188,-96.573,1546,37,0
Collingsworth,Texas,48087,34.965,-100.27,5,0,0
Colorado,Texas,48089,29.622,-96.527,27,0,0
Comal,Texas,48091,29.808,-98.276,134,7,0
Comanche,Texas,48093,31.949,-98.559,12,1,0
Concho,Texas,48095,31.326,-99.865,1,0,0
Cooke,Texas,48097,33.64,-97.212,20,0,0
Coryell,Texas,48099,31.391,-97.799,299,2,0
Cottle,Texas,48101,34.078,-100.279,4,1,0
Crane,Texas,48103,31.431,-102.514,31,5,0
Crockett,Texas,48105,30.724,-101.413,5,0,0
Crosby,Texas,48107,33.614,-101.3,4,1,0
Dallam,Texas,48111,36.278,-102.602,32,1,0
Dallas,Texas,48113,32.767,-96.778,12945,274,0
Dawson,Texas,48115,32.743,-101.948,45,1,0
DeWitt,Texas,48123,29.081,-97.357,24,1,0
