County,State,fips,Latitude,Longitude,Confirmed Cases,Deaths,Recoveries,Column1,Hospitalizations
Juab County,UTAH,49023,39.695,-112.834,12,0,9,,0
Millard County,UTAH,49027,39.036,-113.086,6,0,6,,0
Piute County,UTAH,49031,38.311,-112.101,2,0,2,,0
Sanpete County,UTAH,49039,39.361,-111.577,17,0,10,,0
Sevier County,UTAH,49041,38.731,-111.787,14,0,10,,1
Wayne County,UTAH,49055,38.308,-111.124,0,0,0,,0
Box Elder,UTAH,49003,41.359,-113.211,71,1,25,,5
Cache,UTAH,49005,41.704,-111.745,913,1,174,,17
Rich,UTAH,49033,41.661,-111.212,0,0,0,,0
Davis County,UTAH,49011,41.026,-112.12,620,4,,,53
Salt Lake,UTAH,49035,40.663,-111.91,5340,74,3920,,
San Juan,UTAH,49037,37.586,-109.785,299,5,0,,
Carbon County,UTAH,49007,39.602,-110.651,13,,,,
Emery County,UTAH,49015,38.984,-110.804,7,,,,
Grand County,UTAH,49019,38.963,-109.662,12,,,,
Beaver County,UTAH,49001,38.334,-113.275,0,0,0,,
Garfield County,UTAH,49017,37.802,-111.585,3,0,,,
Iron County,UTAH,49021,37.855,-113.287,56,0,0,,
Kane County,UTAH,49025,37.244,-112.005,3,0,0,,
Washington County,UTAH,49053,37.239,-113.526,324,4,200,,
Summit County,UTAH,49043,40.832,-111.123,416,0,383,,
Tooele County,UTAH,49045,40.406,-113.197,129,0,0,,
Uintah County,UTAH,49047,40.194,-109.577,17,,,,0
Duchesne County,UTAH,49013,40.296,-110.472,9,,,,1
Daggett County,UTAH,49009,40.916,-109.48,0,,,,0
Utah,UTAH,49049,40.084,-111.626,1965,17,1275,,
Wasatch County,UTAH,49051,40.335,-111.119,292,2,0,,
Weber County,UTAH,49057,41.273,-111.886,280,6,180,,
