County,State,fips,Latitude,Longitude,Confirmed Cases,Deaths,Hospitalizations
Accomack,VIRGINIA,51001,37.7422207,-75.6743538,524,23,7
Albemarle,VIRGINIA,51003,38.0085107,-78.6086754,123,16,4
Alexandria[c],VIRGINIA,51510,37.54812,-77.44675,1224,139,30
Alleghany,VIRGINIA,51005,37.8167022,-80.0227166,6,4,0
Amelia,VIRGINIA,51007,37.3319664,-78.008448,17,7,1
Amherst,VIRGINIA,51009,37.5997548,-79.1483701,16,2,0
Appomattox,VIRGINIA,51011,37.3570894,-78.8252911,22,1,0
Arlington,VIRGINIA,51013,38.8903961,-77.0841585,1399,286,60
Augusta,VIRGINIA,51015,38.1793809,-79.1525761,64,2,1
Bath,VIRGINIA,51017,39.6267975,-78.2279514,0,0,0
Bedford,VIRGINIA,51515,37.3123905,-79.5399003,38,1,1
Bland,VIRGINIA,51021,37.1312101,-81.1154109,0,0,0
Botetourt,VIRGINIA,51023,37.5520825,-79.8029569,30,9,3
Bristol[c],VIRGINIA,51520,36.649236,-82.372856,3,0,0
Brunswick,VIRGINIA,51025,36.7788996,-77.8670883,19,4,0
Buchanan,VIRGINIA,51027,37.2600448,-82.0320334,16,0,0
Buckingham,VIRGINIA,51029,37.5558826,-78.5547172,246,10,1
Buena Vista[c],VIRGINIA,51530,37.7894,-79.376018,8,0,0
Campbell,VIRGINIA,51031,37.2158191,-79.1165953,13,3,0
Caroline,VIRGINIA,51033,38.0320305,-77.362363,38,5,2
Carroll,VIRGINIA,51035,36.7365816,-80.7439791,34,2,0
Charles City,VIRGINIA,51036,37.3705777,-77.0605098,21,8,1
Charlotte,VIRGINIA,51037,37.0416273,-78.6523968,11,2,0
Charlottesville[c],VIRGINIA,51540,38.000237,-78.523305,68,14,2
Chesapeake[c],VIRGINIA,51550,36.799907,-76.268749,340,70,9
Chesterfield,VIRGINIA,51041,37.3859982,-77.578509,789,64,26
Clarke,VIRGINIA,51043,39.119728,-77.9926448,16,2,0
Colonial Heights[c],VIRGINIA,51570,37.250606,-77.404101,66,2,6
