County,State,fips,Latitude,Longitude,Confirmed Cases,Deaths
Sauk,WISCONSIN,55111,43.4401728,-89.9653841,69,3
Pierce,WISCONSIN,55093,44.7186568,-92.3786114,12,0
La Crosse,WISCONSIN,55063,43.8014053,-91.2395429,32,0
Dunn,WISCONSIN,55033,44.9333564,-91.8994409,14,0
Jackson,WISCONSIN,55053,44.3016847,-90.8085198,12,1
Green Lake,WISCONSIN,55047,43.7971612,-89.0402508,6,0
Walworth,WISCONSIN,55127,42.6711513,-88.5467715,226,10
Vernon,WISCONSIN,55123,43.5811229,-90.8231247,3,0
Kenosha,WISCONSIN,55059,42.5846773,-87.8212263,627,15
Milwaukee,WISCONSIN,55079,43.0349931,-87.922497,3722,219
Ashland,WISCONSIN,55003,46.2062319,-90.6802594,2,0
Oneida,WISCONSIN,55085,45.6879163,-89.4779558,7,0
Waushara,WISCONSIN,55137,44.1103406,-89.2347222,4,0
Washburn,WISCONSIN,55129,45.8926321,-91.7971652,1,0
Lafayette,WISCONSIN,55065,42.6632391,-90.1317754,9,0
Waupaca,WISCONSIN,55135,44.4927889,-88.9650419,11,1
Vilas,WISCONSIN,55125,46.0382686,-89.4734462,4,0
Ozaukee,WISCONSIN,55089,43.3569041,-87.9579748,101,9
Sheboygan,WISCONSIN,55117,43.7128967,-87.9370433,65,2
Washington,WISCONSIN,55131,43.3734986,-88.2370888,114,4
Bayfield,WISCONSIN,55007,46.4710241,-91.1983175,3,1
Portage,WISCONSIN,55097,44.4604931,-89.5108818,7,0
Fond du Lac,WISCONSIN,55039,43.7533414,-88.4493796,85,3
Kewaunee,WISCONSIN,55061,44.521282,-87.6301086,26,1
Langlade,WISCONSIN,55067,45.2728122,-89.067113,0,0
Rock,WISCONSIN,55105,42.6654418,-89.081772,343,12
Crawford,WISCONSIN,55023,43.2271639,-90.8938474,16,0
Eau Claire,WISCONSIN,55035,44.811349,-91.4984941,50,0
Oconto,WISCONSIN,55083,44.9988053,-88.2480072,27,0
Forest,WISCONSIN,55041,44.4308975,-89.6884637,1,0
Sawyer,WISCONSIN,55113,45.8731634,-91.1468287,4,0
Trempealeau,WISCONSIN,55121,44.2782406,-91.3828806,5,0
Polk,WISCONSIN,55095,45.4318573,-92.407472,5,0
Green,WISCONSIN,55045,44.4308975,-89.6884637,23,0
Outagamie,WISCONSIN,55087,44.41603,-88.4602005,105,2
Adams,WISCONSIN,55001,43.9462246,-89.7836456,4,1
Taylor,WISCONSIN,55119,45.2057106,-90.4915874,0,0
Marathon,WISCONSIN,55073,44.8914036,-89.7748098,22,1
Florence,WISCONSIN,55037,45.8379973,-88.3902943,2,0
Barron,WISCONSIN,55005,45.423557,-91.8454099,10,0
Iron,WISCONSIN,55051,46.2254778,-90.2125304,2,1
Monroe,WISCONSIN,55081,43.9416755,-90.6397264,14,1
Racine,WISCONSIN,55101,42.7260523,-87.7825242,634,16
Shawano,WISCONSIN,55115,44.7817214,-88.7118868,20,0
Dodge,WISCONSIN,55027,43.413614,-88.7177834,51,1
Dane,WISCONSIN,55025,43.0709273,-89.4322174,455,22
Calumet,WISCONSIN,55015,44.0751086,-88.2144321,34,0
Jefferson,WISCONSIN,55055,43.0224668,-88.7673031,50,0
Burnett,WISCONSIN,55013,45.8652437,-92.2673161,0,0
Chippewa,WISCONSIN,55017,45.0740585,-91.2947258,27,0
Douglas,WISCONSIN,55031,46.4396038,-91.9059158,10,0
Marquette,WISCONSIN,55077,43.8122244,-89.3926785,3,1
Brown,WISCONSIN,55009,44.4383498,-88.0167093,1777,13
Richland,WISCONSIN,55103,43.3662526,-90.4557081,13,2
Wood,WISCONSIN,55141,44.4517617,-90.0199618,2,0
Winnebago,WISCONSIN,55139,44.0697014,-88.6516527,91,1
Lincoln,WISCONSIN,55069,45.3265631,-89.7326216,1,0
Pepin,WISCONSIN,55091,44.6351571,-92.0101928,0,0
Iowa,WISCONSIN,55049,42.9732457,-90.1334393,10,0
Marinette,WISCONSIN,55075,45.3834983,-88.0409574,15,1
Price,WISCONSIN,55099,45.676627,-90.368792,1,0
Grant,WISCONSIN,55043,42.8855277,-90.6991696,66,7
Columbia,WISCONSIN,55021,43.4641929,-89.3478429,32,1
Clark,WISCONSIN,55019,44.7188146,-90.6214928,23,4
St. Croix,WISCONSIN,55109,45.0312388,-92.4679305,26,0
Juneau,WISCONSIN,55057,43.9532381,-90.1218405,21,1
Rusk,WISCONSIN,55107,45.4589749,-91.1240967,4,0
Waukesha,WISCONSIN,55133,43.0116784,-88.2314813,387,22
Buffalo,WISCONSIN,55011,44.4073658,-91.7547858,5,1
Menominee,WISCONSIN,55078,45.0154357,-88.7089153,2,0
Manitowoc,WISCONSIN,55071,44.0998341,-87.827992,17,1
Door,WISCONSIN,55029,44.7615925,-87.5329747,18,3
