County,State,fips,Latitude,Longitude,Confirmed Cases,Deaths
Barbour,WEST VIRGINIA,54001,39.122,-80.014,9,0
Berkeley,WEST VIRGINIA,54003,39.454,-78.04,319,11
Boone,WEST VIRGINIA,54005,38.009,-81.701,9,0
Braxton,WEST VIRGINIA,54007,38.7,-80.701,2,0
Brooke,WEST VIRGINIA,54009,40.273,-80.57,5,1
Cabell,WEST VIRGINIA,54011,38.42,-82.232,67,2
Calhoun,WEST VIRGINIA,54013,38.831,-81.123,2,0
Clay,WEST VIRGINIA,54015,38.446,-81.072,5,0
Doddridge,WEST VIRGINIA,54017,39.263,-80.73,0,0
Fayette,WEST VIRGINIA,54019,38.033,-81.072,50,0
Gilmer,WEST VIRGINIA,54021,38.927,-80.835,10,0
Grant,WEST VIRGINIA,54023,39.067,-79.207,12,1
Greenbrier,WEST VIRGINIA,54025,37.961,-80.451,9,0
Hampshire,WEST VIRGINIA,54027,39.302,-78.621,31,0
Hancock,WEST VIRGINIA,54029,40.507,-80.566,19,2
Hardy,WEST VIRGINIA,54031,39.004,-78.844,39,0
Harrison,WEST VIRGINIA,54033,39.282,-80.379,40,1
Jackson,WEST VIRGINIA,54035,38.818,-81.658,137,0
Jefferson,WEST VIRGINIA,54037,39.295,-77.878,197,5
Kanawha,WEST VIRGINIA,54039,38.343,-81.509,230,2
Lewis,WEST VIRGINIA,54041,39.007,-80.492,9,0
Lincoln,WEST VIRGINIA,54043,38.157,-82.067,5,0
Logan,WEST VIRGINIA,54045,37.802,-81.928,17,0
Marion,WEST VIRGINIA,54049,39.513,-80.226,51,1
Marshall,WEST VIRGINIA,54051,39.855,-80.662,30,0
Mason,WEST VIRGINIA,54053,38.75,-82.052,15,0
McDowell,WEST VIRGINIA,54047,37.366,-81.648,6,0
Mercer,WEST VIRGINIA,54055,37.407,-81.111,13,0
Mineral,WEST VIRGINIA,54057,39.384,-78.942,47,2
Mingo,WEST VIRGINIA,54059,37.679,-82.132,7,2
Monongalia,WEST VIRGINIA,54061,39.639,-80.03,137,11
Monroe,WEST VIRGINIA,54063,37.559,-80.519,8,1
Morgan,WEST VIRGINIA,54065,39.546,-78.259,19,1
Nicholas,WEST VIRGINIA,54067,38.278,-80.771,8,0
Ohio,WEST VIRGINIA,54069,40.098,-80.611,42,0
Pendleton,WEST VIRGINIA,54071,38.686,-79.341,13,2
Pleasants,WEST VIRGINIA,54073,39.37,-81.155,4,1
Pocahontas,WEST VIRGINIA,54075,38.302,-80.029,21,1
Preston,WEST VIRGINIA,54077,39.435,-79.686,24,5
Putnam,WEST VIRGINIA,54079,38.494,-81.915,37,1
Raleigh,WEST VIRGINIA,54081,37.749,-81.225,16,1
Randolph,WEST VIRGINIA,54083,38.809,-79.873,131,0
Ritchie,WEST VIRGINIA,54085,39.167,-81.047,1,0
Roane,WEST VIRGINIA,54087,38.694,-81.337,9,0
Summers,WEST VIRGINIA,54089,37.629,-80.846,1,0
Taylor,WEST VIRGINIA,54091,39.328,-80.04,9,1
Tucker,WEST VIRGINIA,54093,39.126,-79.561,4,0
Tyler,WEST VIRGINIA,54095,39.455,-80.868,3,0
Upshur,WEST VIRGINIA,54097,38.896,-80.246,7,1
Wayne,WEST VIRGINIA,54099,38.127,-82.429,102,0
Webster,WEST VIRGINIA,54101,38.484,-80.429,0,0
Wetzel,WEST VIRGINIA,54103,39.609,-80.65,9,0
Wirt,WEST VIRGINIA,54105,39.029,-81.356,4,0
Wood,WEST VIRGINIA,54107,39.205,-81.519,53,3
Wyoming,WEST VIRGINIA,54109,37.597,-81.536,2,0
