County,State,fips,Latitude,Longitude,Confirmed Cases,Deaths,Recoveries,Hospitalized
Aleutians East Borough,ALASKA,02013,55.05,-162.89,0,0,0,
Anchorage,ALASKA,02020,61.21,-149.89,272,4,190,
Bristol Bay Borough,ALASKA,02060,58.74,-156.87,1,0,1,
Denali Borough,ALASKA,02068,63.87,-149.65,0,0,0,
Fairbanks North Star Borough,ALASKA,02090,64.86,-146.77,85,2,83,
Haines Borough,ALASKA,02100,59.08,-135.34,0,0,0,
Juneau,ALASKA,02110,58.3,-134.41,34,0,29,
Kenai Peninsula Borough,ALASKA,02122,60.1,-151.79,79,2,24,
Ketchikan Gateway Borough,ALASKA,02130,55.48,-131.01,16,0,16,
Kodiak Island Borough,ALASKA,02150,57.54,-153.36,1,0,1,
Lake and Peninsula Borough,ALASKA,02164,58.32,-156.15,0,0,0,
Matanuska-Susitna Borough,ALASKA,02170,62.34,-149.47,35,1,21,
North Slope Borough,ALASKA,02185,69.53,-153.82,1,0,0,
Northwest Arctic Borough,ALASKA,02188,67.23,-159.98,2,0,2,
Petersburg Borough,ALASKA,02195,56.75,-133.45,4,1,3,
Sitka,ALASKA,02220,57.05,-135.33,2,0,1,
Skagway,ALASKA,02230,59.62,-135.41,0,0,0,
Wrangell,ALASKA,02275,56.47,-132.37,0,0,0,
Yakutat,ALASKA,02282,59.63,-139.34,0,0,0,
Aleutians West Census Area,ALASKA,02016,51.57,178.87,0,0,0,
Bethel Census Area,ALASKA,02050,60.39,-162.31,3,0,2,
Chugach Census Area,ALASKA,02261,64,-150,0,0,0,
Copper River Census Area,ALASKA,0,64,-150,0,0,0,
Dillingham Census Area,ALASKA,02070,59.9,-158.2,0,0,0,
Hoonah Angoon Census Burough,ALASKA,0,58.06,-135.69,0,0,0,
Kusilvak Census Area,ALASKA,02158,62.2,-163.76,0,0,0,
Nome Census Area,ALASKA,02180,65,-163.09,3,0,3,
Prince of Wales-Hyder Census Area,ALASKA,02198,55.51,-133,2,0,2,
Southeast Fairbanks Census Area,ALASKA,02240,63.84,-143.98,3,0,3,
Yukon-Koyukuk Census Area,ALASKA,02290,65.22,-153.54,1,0,1,
Autauga,ALABAMA,01001,32.52,-86.63,312,6,,
Baldwin,ALABAMA,01003,30.57,-87.73,343,9,,
Barbour,ALABAMA,01005,31.86,-85.4,214,1,,
Bibb,ALABAMA,01007,32.97,-87.12,93,1,,
Blount,ALABAMA,01009,33.95,-86.57,87,1,,
Bullock,ALABAMA,01011,32.1,-85.71,253,8,,
Butler,ALABAMA,01013,32.09,-88.22,484,25,,
Calhoun,ALABAMA,01015,33.75,-85.83,184,3,,
Chambers,ALABAMA,01017,32.89,-85.39,417,26,,
Cherokee,ALABAMA,01019,34.11,-85.6,42,4,,
Chilton,ALABAMA,01021,32.85,-86.7,121,2,,
Choctaw,ALABAMA,01023,31.99,-88.28,162,11,,
Clarke,ALABAMA,01025,31.66,-87.82,165,3,,
Clay,ALABAMA,01027,33.7,-86.6,30,2,,
Cleburne,ALABAMA,01029,33.65,-85.5,20,1,,
Coffee,ALABAMA,01031,31.36,-85.99,260,1,,
Colbert,ALABAMA,01033,34.65,-87.79,230,5,,
Conecuh,ALABAMA,01035,31.4,-86.94,70,1,,
Coosa,ALABAMA,01037,32.92,-86.23,43,1,,
Covington,ALABAMA,01039,31.2,-86.46,98,1,,
Crenshaw,ALABAMA,01041,31.68,-86.32,99,3,,
Cullman,ALABAMA,01043,34.13,-86.88,220,1,,
Dale,ALABAMA,01045,31.39,-85.62,149,0,,
Dallas,ALABAMA,01047,32.31,-87.1,406,6,,
DeKalb,ALABAMA,01049,34.45,-85.77,291,5,,
Elmore,ALABAMA,01051,32.58,-86.12,471,9,,
Escambia,ALABAMA,01053,31.12,-87.11,93,3,,
Etowah,ALABAMA,01055,34.04,-86.02,287,12,,
Fayette,ALABAMA,01057,33.73,-87.74,23,0,,
Franklin,ALABAMA,01059,34.44,-87.83,652,10,,
Geneva,ALABAMA,01061,31.09,-85.8,46,0,,
Greene,ALABAMA,01063,32.86,-87.99,112,5,,
Hale,ALABAMA,01065,32.74,-87.66,219,11,,
Henry,ALABAMA,01067,31.48,-85.24,94,2,,
Houston,ALABAMA,01069,31.14,-85.26,270,5,,
Jackson,ALABAMA,01071,34.77,-85.99,107,3,,
Jefferson,ALABAMA,01073,33.52,-86.92,2250,116,,
Lamar,ALABAMA,01075,33.75,-88.1,30,0,,
Lauderdale,ALABAMA,01077,34.9,-87.68,207,3,,
Lawrence,ALABAMA,01079,34.48,-87.3,60,0,,
Lee,ALABAMA,01081,32.58,-85.31,625,35,,
Limestone,ALABAMA,01083,34.83,-86.99,162,0,,
Lowndes,ALABAMA,01085,32.11,-86.64,326,13,,
Macon,ALABAMA,01087,32.37,-85.67,110,5,,
Madison,ALABAMA,01089,34.77,-86.57,428,5,,
Marengo,ALABAMA,01091,32.2,-87.76,200,7,,
Marion,ALABAMA,01093,34.11,-87.85,129,12,,
Marshall,ALABAMA,01095,34.34,-86.33,786,9,,
Mobile,ALABAMA,01097,30.69,-88.04,2593,128,,
Monroe,ALABAMA,01099,31.56,-87.38,95,2,,
Montgomery,ALABAMA,01101,32.37,-86.3,2436,65,,
Morgan,ALABAMA,01103,34.43,-86.85,477,1,,
Perry,ALABAMA,01105,32.64,-87.29,56,0,,
Pickens,ALABAMA,01107,33.3,-88.12,131,6,,
Pike,ALABAMA,01109,33.26,-86.83,283,1,,
Randolph,ALABAMA,01111,33.26,-85.47,137,8,,
Russell,ALABAMA,01113,32.27,-85.2,250,0,,
St. Clair,ALABAMA,01115,33.71,-86.34,153,2,,
Shelby,ALABAMA,01117,33.25,-86.66,580,20,,
Sumter,ALABAMA,01119,32.52,-88.18,253,11,,
Talladega,ALABAMA,01121,33.4,-86.16,146,5,,
Tallapoosa,ALABAMA,01123,32.86,-85.8,454,66,,
Tuscaloosa,ALABAMA,01125,33.21,-87.57,1070,23,,
